~,st_data_export_price_multiplier
mag_nato_5.56x45_short,1
mag_oc_9x18_default,1
mag_oc_9x19_alt,1
mag_ots_9x39_default,1
mag_p220_9x19_u2p2bas,1
mag_p90_5.7x28_default,1
mag_p90_5.7x28_ext,1
mag_pkp_pkm_default,1
mag_pm_9x18_default,1
mag_pm_9x19_alt,1
mag_pmm_9x18_default,1
mag_pmm_9x19_alt,1
mag_pp2000_9x18_alt,1
mag_pp2000_9x18_ext_alt,1
mag_pp2000_9x19_default,1
mag_pp2000_9x19_ext,1
mag_ppp_glock_45_default,1
mag_ppsh_7.62x25_default,1
mag_ppsh_7.62x25_stick,1
mag_px4_45_default,1
mag_px4_9x19_default,1
mag_raptr_12x76_default,1
mag_rem_7.62x51_default,1
mag_remington700_7.62x51,1
mag_remingtonarchangel_7.62x51,1
mag_remingtonla_300,1
mag_remingtonla_300_gamma,1
mag_rpd_7.62x39_default,1
mag_rpk_5.45x39_default,1
mag_rpk_5.56x45_default,1
mag_rpk_7.62x39_default,1
mag_rxp_45,1
mag_rxp_9x19,1
mag_saiga12_drum,1
mag_saiga12s_12x70_default,1
mag_saiga12s_12x70_extended,1
mag_sig_5.56x45_default,1
mag_sig_5.56x45_sniper,1
mag_sigp220_default,1
mag_sigp220_extended,1
mag_sks_7.62x39,1
mag_sks_7.62x39_extended,1
mag_sks_7.62x54,1
mag_sks_7.62x54_extended,1
mag_sr1m_9x21_default,1
mag_sr1m_9x21_extended,1
mag_sr2m_9x18_veresk,1
mag_sr2m_9x21_veresk,1
mag_stanag_7.62x51_default,1
mag_stanag_7.62x51_extended,1
mag_stanag_7.62x51_fast,1
mag_stanag_7.62x51_short,1
mag_steyr_556,1
mag_steyr_762,1
mag_sv98_7.62x54_default,1
mag_svd_7.62x54_default,1
mag_svd_7.62x54_extended,1
mag_svi_45,1
mag_svt_7.62x39_alt,1
mag_svt_7.62x54_default,1
mag_sw_45_default,1
mag_sw_919_default,1
mag_t63_7.62x39_default,1
mag_t63_7.62x54_alt,1
mag_tt33_7.62x25_default,1
mag_tt33_7.62x25_ext,1
mag_ump45_11.43x23_default,1
mag_usas12_12x70_default,1
mag_usp_11.43x23_default,1
mag_usptac_9x19,1
mag_usptac_9x19_extended,1
mag_uzi_9x19_default,1
mag_uzi_9x19_extended,1
mag_val_9x39_default,1
mag_vepr_12x70_compact,1
mag_vepr_12x70_default,1
mag_vihr_9x39_default,1
mag_vityaz_9x18_alt,1
mag_vityaz_9x19_default,1
mag_vsk_12.7x55_default,1
mag_vsk_9x39_default,1
mag_vss_9x39_default,1
mag_vz61_9x18_alt,1
mag_vz61_9x19_default,1
mag_wa_7.62x51_default,1
mag_wp99_9x19,1
mag_wp99_9x19_extended,1
mag_xd9_9x19_default,1
marker,1
monolith_shard,1
powder_poltergeist,1
side_saddle_rifle,1
side_saddle_shotgun,1
wpn_g36v_rwap_cut_kit,1
wpn_tt33_tt_upgr_kit,1
