~,st_data_export_price_multiplier
mag_mp5_9x18_extended50,1
mag_mp5_9x19_default,1
mag_mp5_9x19_extended,1
mag_mp5_9x19_extended50,1
mag_mp7_5.7x28_default,1
mag_mp7_5.7x28_small,1
mag_mp7_9x18_alt,1
mag_mp7_9x19_default,1
mag_mp9iwp,1
mag_mp9iwp_9x18,1
mag_mp9iwp_9x18_ext,1
mag_mp9iwp_ext,1
mag_nato_5.45x39_alt,1
mag_nato_5.56x45_casket,1
mag_nato_5.56x45_default,1
mag_nato_5.56x45_drum,1
mag_nato_5.56x45_drum_ext,1
mag_nato_5.56x45_extended,1
mag_nato_5.56x45_fast,1
mag_nato_5.56x45_short,1
mag_oc_9x18_default,1
mag_oc_9x19_alt,1
mag_ots_9x39_default,1
mag_p220_9x19_u2p2bas,1
mag_p90_5.7x28_default,1
mag_p90_5.7x28_ext,1
mag_pkp_pkm_default,1
mag_pm_9x18_default,1
mag_pm_9x19_alt,1
mag_pmm_9x18_default,1
mag_pmm_9x19_alt,1
mag_pp2000_9x18_alt,1
mag_pp2000_9x18_ext_alt,1
mag_pp2000_9x19_default,1
mag_pp2000_9x19_ext,1
mag_ppp_glock_45_default,1
mag_ppsh_7.62x25_default,1
mag_ppsh_7.62x25_stick,1
mag_px4_45_default,1
mag_px4_9x19_default,1
mag_raptr_12x76_default,1
mag_rem_7.62x51_default,1
mag_remington700_7.62x51,1
mag_remingtonarchangel_7.62x51,1
mag_remingtonla_300,1
mag_remingtonla_300_gamma,1
mag_rpd_7.62x39_default,1
mag_rpk_5.45x39_default,1
mag_rpk_5.56x45_default,1
mag_rpk_7.62x39_default,1
mag_rxp_45,1
mag_rxp_9x19,1
mag_saiga12_drum,1
mag_saiga12s_12x70_default,1
mag_saiga12s_12x70_extended,1
mag_sig_5.56x45_default,1
mag_sig_5.56x45_sniper,1
mag_sigp220_default,1
mag_sigp220_extended,1
mag_sks_7.62x39,1
mag_sks_7.62x39_extended,1
mag_sks_7.62x54,1
mag_sks_7.62x54_extended,1
mag_sr1m_9x21_default,1
mag_sr1m_9x21_extended,1
mag_sr2m_9x18_veresk,1
mag_sr2m_9x21_veresk,1
mag_stanag_7.62x51_default,1
mag_stanag_7.62x51_extended,1
mag_stanag_7.62x51_fast,1
mag_stanag_7.62x51_short,1
mag_steyr_556,1
mag_steyr_762,1
mag_sv98_7.62x54_default,1
mag_svd_7.62x54_default,1
mag_svd_7.62x54_extended,1
mag_svi_45,1
mag_svt_7.62x39_alt,1
mag_svt_7.62x54_default,1
mag_sw_45_default,1
mag_sw_919_default,1
mag_t63_7.62x39_default,1
mag_t63_7.62x54_alt,1
mag_tt33_7.62x25_default,1
mag_tt33_7.62x25_ext,1
mag_ump45_11.43x23_default,1
mag_usas12_12x70_default,1
mag_usp_11.43x23_default,1
mag_usptac_9x19,1
mag_usptac_9x19_extended,1
mag_uzi_9x19_default,1
mag_uzi_9x19_extended,1
mag_val_9x39_default,1
mag_vepr_12x70_compact,1
mag_vepr_12x70_default,1
mag_vihr_9x39_default,1
mag_vityaz_9x18_alt,1
mag_vityaz_9x19_default,1
mag_vsk_12.7x55_default,1
mag_vsk_9x39_default,1
mag_vss_9x39_default,1
mag_vz61_9x18_alt,1
mag_vz61_9x19_default,1
mag_wa_7.62x51_default,1
mag_wp99_9x19,1
mag_wp99_9x19_extended,1
mag_xd9_9x19_default,1
marker,1
medium_repair_kit,1
monolith_shard,1
partskit_tool,1
powder_poltergeist,1
ramrod_tool,1
rasp_tool,1
sewing_kit_a,1
sewing_kit_b,1
sewing_kit_h,1
sewing_thread,1
sharpening_stones,1
side_saddle_rifle,1
side_saddle_shotgun,1
solvent,1
steel_wool,1
toolkit_p,1
toolkit_r5,1
toolkit_r7,1
toolkit_s,1
upgr_o_1_armor,1
upgr_o_1_arty,1
upgr_o_1_bleed,1
upgr_o_1_burn,1
upgr_o_1_carry,1
upgr_o_1_chem,1
upgr_o_1_damage,1
upgr_o_1_durability,1
upgr_o_1_health,1
upgr_o_1_magical,1
upgr_o_1_physical,1
upgr_o_1_power,1
upgr_o_1_psi,1
upgr_o_1_rad,1
upgr_o_1_run,1
upgr_o_1_shock,1
upgr_o_1_utility,1
upgr_o_1_weight,1
upgr_o_2_armor,1
upgr_o_2_arty,1
upgr_o_2_bleed,1
upgr_o_2_burn,1
upgr_o_2_carry,1
upgr_o_2_chem,1
upgr_o_2_damage,1
upgr_o_2_durability,1
upgr_o_2_health,1
upgr_o_2_magical,1
upgr_o_2_physical,1
upgr_o_2_power,1
upgr_o_2_psi,1
upgr_o_2_rad,1
upgr_o_2_run,1
upgr_o_2_shock,1
upgr_o_2_utility,1
upgr_o_2_weight,1
upgr_o_3_armor,1
upgr_o_3_arty,1
upgr_o_3_bleed,1
upgr_o_3_burn,1
upgr_o_3_carry,1
upgr_o_3_chem,1
upgr_o_3_damage,1
upgr_o_3_durability,1
upgr_o_3_health,1
upgr_o_3_magical,1
upgr_o_3_physical,1
upgr_o_3_power,1
upgr_o_3_psi,1
upgr_o_3_rad,1
upgr_o_3_run,1
upgr_o_3_shock,1
upgr_o_3_utility,1
upgr_o_3_weight,1
upgr_w_1_calibre,1
upgr_w_1_dispersion,1
upgr_w_1_external,1
upgr_w_1_firemode,1
upgr_w_1_grenade_mount,1
upgr_w_1_inertion,1
upgr_w_1_internal,1
upgr_w_1_magazine,1
upgr_w_1_muffle,1
upgr_w_1_optical,1
upgr_w_1_recoil,1
upgr_w_1_reliability,1
upgr_w_1_rpm,1
upgr_w_1_scope,1
upgr_w_1_scope_mount,1
upgr_w_1_speed,1
upgr_w_1_weight,1
upgr_w_2_calibre,1
upgr_w_2_dispersion,1
upgr_w_2_external,1
upgr_w_2_firemode,1
upgr_w_2_grenade_mount,1
upgr_w_2_inertion,1
upgr_w_2_internal,1
upgr_w_2_magazine,1
upgr_w_2_muffle,1
upgr_w_2_optical,1
upgr_w_2_recoil,1
upgr_w_2_reliability,1
upgr_w_2_rpm,1
upgr_w_2_scope,1
upgr_w_2_scope_mount,1
upgr_w_2_speed,1
upgr_w_2_weight,1
upgr_w_3_calibre,1
upgr_w_3_dispersion,1
upgr_w_3_external,1
upgr_w_3_firemode,1
upgr_w_3_grenade_mount,1
upgr_w_3_inertion,1
upgr_w_3_internal,1
upgr_w_3_magazine,1
upgr_w_3_muffle,1
upgr_w_3_optical,1
upgr_w_3_recoil,1
upgr_w_3_reliability,1
upgr_w_3_rpm,1
upgr_w_3_scope,1
upgr_w_3_scope_mount,1
upgr_w_3_speed,1
upgr_w_3_weight,1
wpn_g36v_rwap_cut_kit,1
wpn_tt33_tt_upgr_kit,1
