~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,BR1,BR2,BR3,BR4,BR5,BR6,BR7,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
ammo_7.92x33_ap,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,10,4500,,,,,39,,,1,1,85%,100%,25%,150%,150%,200%,1,0.039,0.25
ammo_7.92x33_fmj,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,10,1350,,,27,,,,,1,1,85%,100%,25%,150%,150%,200%,1,0.027,0.25
ammo_9x18_ap,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,15,1200,,,26,,,,,1,0.76,66%,100%,80%,187%,55%,40%,0.76,0.026,0.8
ammo_9x18_fmj,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,15,560,,14,,,,,,1,0.76,66%,100%,80%,187%,60%,40%,0.76,0.014,0.8
ammo_9x18_pmm,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,15,1150,8,,,,,,,1,1.4,66%,100%,80%,187%,70%,40%,1.4,0.008,0.8
ammo_9x19_ap,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,2350,,,,35,,,,1,0.7,66%,100%,75%,187%,36%,40%,0.7,0.035,0.75
ammo_9x19_fmj,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,645,,17,,,,,,1,0.7,66%,100%,75%,187%,44%,40%,0.7,0.017,0.75
ammo_9x19_pbp,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,1125,10,,,,,,,1,1.35,66%,100%,75%,187%,100%,40%,1.35,0.01,0.75
ammo_9x21_sp10,ammo_9x21_sp10,ammo_9x21_sp10_descr,0.19,18,2150,,,,32,,,,1,1.15,66%,100%,80%,125%,80%,110%,1.15,0.032,0.8
ammo_9x39_ap,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,14,5350,,,,,,,55,1,1.04,66%,100%,63%,73%,50%,40%,1.04,0.055,0.63
ammo_9x39_pab9,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,14,1650,,,,34,,,,1,1.04,50%,100%,63%,73%,55%,40%,1.04,0.034,0.63
ammo_gauss,ammo-gauss,ammo-gauss_descr,0.60,8,20512,,,,,,,500,1,2.5,66%,100%,1%,100%,100%,40%,2.5,0.5,0.01
ammo_gauss_cardan,ammo-gauss_cardan,ammo-gauss_cardan_descr,0.60,6,8399,,,,,,,500,1,2.5,66%,100%,1%,100%,100%,40%,2.5,0.5,0.01
ammo_m209,ammo-m209,ammo-m209_descr,0.20,1,2264,,,,35,,,,0,0.8,66%,100%,100%,100%,135%,40%,0.8,0.035,1
ammo_magnum_300,ammo-338-lapua,ammo-338-lapua_descr,0.44,10,17000,,,,,,,140,1,1.45,66%,100%,35%,150%,200%,40%,1.45,0.14,0.35
ammo_magnum_300_sub,ammo_magnum_300_sub,ammo_magnum_300_sub_descr,0.45,10,9000,,,,,,,100,1,1,70%,100%,35%,120%,145%,40%,1,0.1,0.35
ammo_og-7b,ammo-og-7b,ammo-og-7b_descr,1.96,1,12490,,,,,,,125,0,1,152%,100%,100%,100%,150%,40%,1,0.125,1
ammo_pkm_100,ammo-7.62x54-r,ammo-7.62x54-r_descr,0.54,30,5000,,,,37,,,,1,1.02,90%,100%,30%,150%,60%,40%,1.02,0.037,0.3
ammo_vog-25,ammo-vog-25,ammo-vog-25_descr,0.26,1,2180,,,,35,,,,0,0.8,66%,100%,100%,100%,130%,40%,0.8,0.035,1
ammo_vog-30,ammo_vog_30,ammo_vog_30_descr,0.20,1,1850,,,,35,,,,0,8,60%,100%,100%,100%,110%,40%,8,0.035,1
mag_1921_11.43x23_default,st_mag_1921_11.43x23_fmj,st_mag_1921_11.43x23_fmj_descr,2.40,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_196a1_7.62x54_alt,st_mag_l96a1_pkm,st_mag_l96a1_pkm_descr,0.16,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_50_762x51_drum,st_mag_overlylarge_50_762x51_drum2,st_mag_overlylarge_50_762x51_drum2_descr,1.09,0,21200,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_50_762x51_drum_hinge,st_mag_overlylarge_50_762x51_drum,st_mag_overlylarge_50_762x51_drum_descr,1.09,0,21200,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_7.62x39_ar15,st_mag_ar15_762x39,st_mag_ar15_762x39_descr,0.30,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_75_762x39_drum,st_mag_overlylarge_75_762x39_drum,st_mag_overlylarge_75_762x39_drum_descr,1.02,0,15250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_95_5.56x45_drum,st_mag_overlylarge_95_556_drum,st_mag_overlylarge_95_556_drum_descr,1.04,0,15000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_95_545x39_drum,st_mag_overlylarge_95_545_drum,st_mag_overlylarge_95_545_drum_descr,1.04,0,19500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ace21_5.56x45_default,st_mag_ace21_5.56x45,st_mag_ace21_5.56x45_descr,0.18,0,1125,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_5.45x39_default,st_mag_ak74_5.45x39,st_mag_ak74_5.45x39_descr,0.21,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_5.45x39_extended,st_mag_ak74_5.45x39_extended,st_mag_ak74_5.45x39_extended_descr,0.30,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_5.45x39_fast,st_mag_ak74_fast_5.45x39,st_mag_ak74_fast_5.45x39_descr,0.17,0,3250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_5.45x39_modern,st_mag_ak74m_5.45x39,st_mag_ak74m_5.45x39_descr,0.21,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_5.56x45_modern,st_mag_ak101_5.56x45,st_mag_ak101_5.56x45_descr,0.21,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_7.62x39_default,st_mag_ak_7.62x39,st_mag_ak_7.62x39_descr,0.33,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_7.62x39_fast,st_mag_ak103_fast_7.62x39,st_mag_ak103_fast_7.62x39_descr,0.25,0,3250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ak_7.62x39_modern,st_mag_ak103_7.62x39,st_mag_ak103_7.62x39_descr,0.25,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_akalfa_5.56x45_bas,st_mag_akalfa_5.56x45_bas,st_mag_akalfa_5.56x45_bas_descr,0.30,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_akalfa_7.62x39_bas,st_mag_akalfa_7.62x39_bas,st_mag_akalfa_7.62x39_bas_descr,0.30,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_aps_9x18_default,st_mag_aps_9x18_fmj,st_mag_aps_9x18_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_aps_9x19_alt,st_mag_aps_9x19_fmj,st_mag_aps_9x19_fmj_descr,0.10,0,2000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ash_12.7x55_default,st_mag_ash12_12.7x55,st_mag_ash12_12.7x55_descr,0.35,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ash_12.7x55_extended,st_mag_ash12_ext_12.7x55,st_mag_ash12_ext_12.7x55_descr,0.50,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_aug_5.56x45_default,st_mag_aug_5.56x45,st_mag_aug_5.56x45_descr,0.15,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_aug_5.56x45_extended,st_mag_aug_5.56x45_ext,st_mag_aug_5.56x45_ext_descr,0.36,0,5200,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_aug_9x19_default,st_mag_aug_9x19_fmj,st_mag_aug_9x19_fmj_descr,0.17,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_pl15_9x19,st_mag_pl15_9x19_fmj,st_mag_pl15_9x19_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_pl15_9x19_extended,st_mag_pl15_9x19_fmjext,st_mag_pl15_9x19_fmjext_descr,0.12,0,3150,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_sig226_9x19,st_mag_sig226_9x19_fmj,st_mag_sig226_9x19_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_sig226_9x19_extended,st_mag_sig226_9x19_fmjext,st_mag_sig226_9x19_fmjext_descr,0.12,0,3150,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_toz106,st_mag_toz106_20x70_fmj,st_mag_toz106_20x70_descr,0.14,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_toz106_zhekan,st_mag_toz106_20x70_zhekan_fmj,st_mag_toz106_20x70_zhekan_descr,0.14,0,450,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_toz106m1,st_mag_etoz106_20x70_fmj,st_mag_etoz106_20x70_descr,0.16,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bas_toz106m1_zhekan,st_mag_etoz106_20x70_zhekan_fmj,st_mag_etoz106_20x70_zhekan_descr,0.16,0,750,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_baskiparis_9x18_20,st_mag_baskiparis_9x18_20,st_mag_baskiparis_9x18_20_descr,0.14,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_baskiparis_9x18_40,st_mag_baskiparis_9x18_40,st_mag_baskiparis_9x18_40_descr,0.22,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_baskiparis_9x18_81,st_mag_baskiparis_9x18_81,st_mag_baskiparis_9x18_81_descr,1.05,0,12500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_baskiparis_9x19_20,st_mag_baskiparis_9x19_20,st_mag_baskiparis_9x19_20_descr,0.14,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_baskiparis_9x19_40,st_mag_baskiparis_9x19_40,st_mag_baskiparis_9x19_40_descr,0.22,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_baskiparis_9x19_81,st_mag_baskiparis_9x19_81,st_mag_baskiparis_9x19_81_descr,1.05,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_basvz61_9x18_30,st_mag_basvz61_9x18_30,st_mag_basvz61_9x18_30_descr,0.16,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_basvz61_9x18_60,st_mag_basvz61_9x18_60,st_mag_basvz61_9x18_60_descr,0.45,0,9500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_basvz61_9x19_30,st_mag_basvz61_9x19_30,st_mag_basvz61_9x19_30_descr,0.16,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_basvz61_9x19_60,st_mag_basvz61_9x19_60,st_mag_basvz61_9x19_60_descr,0.45,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_beretta_9x18_alt,st_mag_beretta_9x18_fmj,st_mag_beretta_9x18_fmj_descr,0.11,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_beretta_9x19_default,st_mag_beretta_9x19_fmj,st_mag_beretta_9x19_fmj_descr,0.11,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bizon_7.62x25_alt,st_mag_bizon_7.62x25_p,st_mag_bizon_7.62x25_p_descr,0.50,0,4250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bizon_9x18_defalt,st_mag_bizon_9x18_fmj,st_mag_bizon_9x18_fmj_descr,0.50,0,4250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bizon_9x19_alt,st_mag_bizon_9x19_fmj,st_mag_bizon_9x19_fmj_descr,0.50,0,4250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_bolt_300_default,st_mag_trg_magnum_300,st_mag_trg_magnum_300_descr,0.15,0,8500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_colt1911_762x25,st_ppp_colt1911_762x25_fmj,st_ppp_colt1911_762x25_fmj_descr,0.06,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_colt1911_default,st_mag_colt1911_11.43x23_fmj,st_mag_colt1911_11.43x23_fmj_descr,0.08,0,1850,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_colt1911_extended,ext_mag_colt1911_11.43x23_fmj,ext_mag_colt1911_11.43x23_fmj_descr,0.12,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_coonan_357_default,st_mag_ppp_1911_357_fmj,st_mag_ppp_1911_357_fmj_descr,0.16,0,5250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_coonan_357_ext,ext_mag_ppp_1911_357_fmj,ext_mag_ppp_1911_357_fmj_descr,0.25,0,8500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_cz52_default,st_mag_cz52_7.62x25_p,st_mag_cz52_7.62x25_p_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_cz75_9x18_alt,st_mag_cz75_9x18_fmj,st_mag_cz75_9x18_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_cz75_9x19_default,st_mag_cz75_9x19_fmj,st_mag_cz75_9x19_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_deserteagal_default,st_mag_desert_eagle_357_hp,st_mag_desert_eagle_357_hp_descr,0.20,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_dvl_338fed,st_mag_dvl_338,st_mag_dvl_338fed_descr,0.50,0,8500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_dvl_7.62x51,st_mag_dvl_7.62x51,st_mag_dvl_7.62x51_descr,0.25,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_fn57_default,st_mag_fn57_5.7x28_ss190,st_mag_fn57_5.7x28_ss190_descr,0.06,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_fnp45_default,st_mag_fnp45_11.43x23_fmj,st_mag_fnp45_11.43x23_fmj_descr,0.10,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_fnx45_default,st_mag_fnx45_11.43x23_fmj,st_mag_fnx45_11.43x23_fmj_descr,0.10,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_fort_9x18_default,st_mag_fort_9x18_fmj,st_mag_fort_9x18_fmj_descr,0.16,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_fort_9x19_alt,st_mag_fort_9x19_fmj,st_mag_fort_9x19_fmj_descr,0.16,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_frasier_11.43x23_default,st_mag_mp5_11.43x23_fmj,st_mag_mp5_11.43x23_fmj_descr,0.19,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_g36_5.56x45_default,st_mag_g36_5.56x45,st_mag_g36_5.56x45_descr,0.13,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_g43_7.92x33_default,st_mag_g43_7.92x33,st_mag_g43_7.92x33_descr,0.23,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_galil_7.62x51_default,st_mag_galil_7.62x51,st_mag_galil_7.62x51_descr,0.30,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_galil_7.62x54_7h1_default,st_mag_galil_7.62x54_7h1,st_mag_galil_7.62x54_7h1_descr,0.40,0,2335,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_glock_9x18_alt,st_mag_glock_9x18_fmj,st_mag_glock_9x18_fmj_descr,0.09,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_glock_9x19_default,st_mag_glock_9x19_fmj,st_mag_glock_9x19_fmj_descr,0.09,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_grot,st_mag_grot,st_mag_grot_descr,0.11,0,4250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_gsh18_9x19_default,st_mag_gsh18_9x19_fmj,st_mag_gsh18_9x19_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_hinge_7.62x51_default,st_mag_hinge_7.62x51,st_mag_hinge_7.62x51_descr,0.23,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_hinge_7.62x51_extended,st_mag_hinge_ext_7.62x51,st_mag_hinge_ext_7.62x51_descr,0.33,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_hk21_7.62x51_default,st_mag_hk21_7.62x51,st_mag_hk21_7.62x51_descr,0.58,0,22500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_hpsa_9x18_alt,st_mag_hpsa_9x18_fmj,st_mag_hpsa_9x18_fmj_descr,0.09,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_hpsa_9x19_default,st_mag_hpsa_9x19_fmj,st_mag_hpsa_9x19_fmj_descr,0.09,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_k98_7.62x51,st_mag_k98_7.62x51,st_mag_k98_7.62x51_descr,0.30,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_k98_7.62x54,st_mag_k98_7.62x54,st_mag_k98_7.62x54_descr,0.30,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_k98_7.92x33,st_mag_k98_7.92x33,st_mag_k98_7.92x33_descr,0.30,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kiparis_9x18_50,st_mag_baskiparis_9x18_81,st_mag_baskiparis_9x18_81_descr,0.55,0,8500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kiparis_9x18_default,st_mag_kiparis_9x18_fmj,st_mag_kiparis_9x18_fmj_descr,0.17,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kiparis_9x19_50,st_mag_baskiparis_9x19_81,st_mag_baskiparis_9x19_81_descr,0.55,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kiparis_9x19_alt,st_mag_kiparis_9x19_fmj,st_mag_kiparis_9x19_fmj_descr,0.17,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kriss_11.43x23_default,mag_kriss45,mag_kriss45_descr,0.15,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kriss_11.43x23_ext,ext_mag_kriss_drum,ext_mag_kriss_drum_descr,0.27,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kriss_9x19_default,mag_kriss9,mag_kriss9_descr,0.15,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_kriss_9x19_ext,ext_mag_kriss9_drum,ext_mag_kriss9_drum_descr,0.27,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
