~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
ammo_5.45x39_fmj,ammo-5.45x39-fmj,5,recipe_ammo_0,,st_casing_r5,x1,st_powder_rifle,x1,st_rifle5_rounds,x1,,
ammo_5.56x45_ap,ammo-5.56x45-ap,5,recipe_ammo_0,,st_casing_r5,x2,st_powder_rifle,x3,st_rifle5_ap_rounds,x2,,
ammo_5.56x45_fmj,ammo-5.56x45-fmj,5,recipe_ammo_0,,st_casing_r5,x1,st_powder_rifle,x1,st_rifle5_rounds,x1,,
ammo_5.56x45_ss190,ammo-5.56x45-ss190,5,recipe_ammo_0,,st_casing_r5,x1,st_powder_rifle,x1,st_rifle5_rounds,x1,,
ammo_5.7x28_ss190,ammo-5.7x28-ss190,5,recipe_ammo_0,,st_casing_pistol,x2,st_powder_pistol,x3,st_handgun_ap_rounds,x1,,
ammo_5.7x28_ss195,ammo-5.7x28-ss195,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x2,st_handgun_rounds,x1,,
ammo_7.62x25_p,ammo-7.62x25-p,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x1,st_handgun_rounds,x1,,
ammo_7.62x25_ps,ammo-7.62x25-ps,5,recipe_ammo_0,,st_casing_pistol,x2,st_powder_pistol,x2,st_handgun_rounds,x2,,
ammo_7.62x39_ap,ammo-7.62x39_ap,5,recipe_ammo_0,,st_casing_r5,x2,st_powder_rifle,x4,st_rifle5_ap_rounds,x2,,
ammo_7.62x39_fmj,ammo-7.62x39_fmj,5,recipe_ammo_0,,st_casing_r5,x1,st_powder_rifle,x2,st_rifle5_rounds,x1,,
ammo_7.62x51_ap,ammo-7.62x51_ap,5,recipe_ammo_0,,st_casing_r7,x3,st_powder_mag,x6,st_rifle7_ap_rounds,x3,,
ammo_7.62x51_fmj,ammo-7.62x51_fmj,5,recipe_ammo_0,,st_casing_r7,x2,st_powder_mag,x1,st_rifle7_rounds,x2,,
ammo_7.62x54_7h1,ammo-7.62x54-7n1,5,recipe_ammo_0,,st_casing_r7,x1,st_powder_mag,x1,st_rifle7_rounds,x1,,
ammo_7.62x54_7h14,ammo-7.62x54_7n14,5,recipe_ammo_0,,st_casing_r7,x2,st_powder_mag,x2,st_rifle7_rounds,x2,,
ammo_7.62x54_ap,ammo-7.62x54-ap,5,recipe_ammo_0,,st_casing_r7,x3,st_powder_mag,x7,st_rifle7_ap_rounds,x3,,
ammo_7.92x33_ap,ammo-7.92x33_ap,5,recipe_ammo_0,,st_casing_r7,x2,st_powder_mag,x4,st_rifle7_ap_rounds,x2,,
ammo_7.92x33_fmj,ammo-7.92x33_fmj,5,recipe_ammo_0,,st_casing_r7,x1,st_powder_mag,x1,st_rifle7_rounds,x1,,
ammo_9x18_ap,ammo-9x18-ap,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x2,st_handgun_ap_rounds,x1,,
ammo_9x18_fmj,ammo-9x18-fmj,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x1,st_handgun_rounds,x1,,
ammo_9x18_pmm,ammo-9x18-pmm,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x2,st_handgun_rounds,x1,,
ammo_9x19_ap,ammo-9x19-ap,5,recipe_ammo_0,,st_casing_pistol,x2,st_powder_pistol,x3,st_handgun_ap_rounds,x1,,
ammo_9x19_fmj,ammo-9x19-fmj,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x1,st_handgun_rounds,x1,,
ammo_9x19_pbp,ammo-9x19-pbp,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x2,st_handgun_rounds,x1,,
ammo_9x21_sp10,ammo_9x21_sp10,5,recipe_ammo_0,,st_casing_pistol,x1,st_powder_pistol,x3,st_handgun_ap_rounds,x1,,
ammo_9x39_ap,ammo-9x39-ap,5,recipe_ammo_0,,st_casing_r5,x2,st_powder_rifle,x3,st_rifle5_ap_rounds,x2,,
ammo_9x39_pab9,ammo-9x39-pab9,5,recipe_ammo_0,,st_casing_r5,x1,st_powder_rifle,x1,st_rifle5_rounds,x1,,
ammo_gauss,ammo-gauss,5,recipe_expert_0,,st_af_electra_sparkler_name,x2,st_prt_i_copper,x1,st_prt_i_scrap,x2,st_batteries,x3
ammo_m209,ammo-m209,5,recipe_advanced_0,,ammo_vog_30,x1,st_prt_i_scrap,x2,st_powder_mag,x1,,
ammo_magnum_300,ammo-338-lapua,5,recipe_ammo_0,,st_casing_r7,x5,st_powder_mag,x8,st_rifle7_ap_rounds,x5,,
ammo_og-7b,ammo-og-7b,5,recipe_expert_0,,st_prt_i_scrap,x3,st_ied_rpg,x2,,,,
ammo_pkm_100,ammo-7.62x54-r,5,recipe_ammo_0,,st_casing_r7,x1,st_powder_mag,x2,st_rifle7_rounds,x1,,
ammo_vog-25,ammo-vog-25,5,recipe_advanced_0,,ammo_vog_30,x1,st_prt_i_scrap,x2,st_powder_mag,x1,,
ammo_vog-30,ammo_vog_30,5,recipe_advanced_0,,ammo-vog-25,x1,st_prt_i_scrap,x2,st_powder_mag,x1,,
ied_new,st_ied,5,recipe_ammo_0,,ammo-vog-25,x1,st_grenade_f1,x1,st_prt_i_scrap,x2,,
ied_rpg_new,st_ied_rpg,5,recipe_ammo_0,,st_grenade_f1,x1,st_grenade_rgd5,x2,st_prt_i_scrap,x2,,
mine_new,st_mine_name,5,recipe_ammo_0,,st_prt_i_scrap,x4,st_grenade_f1,x1,,,,
