~,pda_encyclopedia_name,st_data_export_mag_size,st_data_export_max_mag_size
mag_bas_pl15_9x19_extended,st_mag_pl15_9x19_fmjext,small,24
mag_bas_sig226_9x19,st_mag_sig226_9x19_fmj,small,15
mag_bas_sig226_9x19_extended,st_mag_sig226_9x19_fmjext,small,20
mag_bas_toz106,st_mag_toz106_20x70_fmj,small,2
mag_bas_toz106_zhekan,st_mag_toz106_20x70_zhekan_fmj,medium,2
mag_bas_toz106m1,st_mag_etoz106_20x70_fmj,small,5
mag_bas_toz106m1_zhekan,st_mag_etoz106_20x70_zhekan_fmj,medium,4
mag_baskiparis_9x18_20,st_mag_baskiparis_9x18_20,small,20
mag_baskiparis_9x18_40,st_mag_baskiparis_9x18_40,medium,40
mag_baskiparis_9x18_81,st_mag_baskiparis_9x18_81,large,81
mag_baskiparis_9x19_20,st_mag_baskiparis_9x19_20,small,20
mag_baskiparis_9x19_40,st_mag_baskiparis_9x19_40,medium,40
mag_baskiparis_9x19_81,st_mag_baskiparis_9x19_81,large,81
mag_basvz61_9x18_30,st_mag_basvz61_9x18_30,medium,30
mag_basvz61_9x18_60,st_mag_basvz61_9x18_60,large,60
mag_basvz61_9x19_30,st_mag_basvz61_9x19_30,medium,30
mag_basvz61_9x19_60,st_mag_basvz61_9x19_60,large,60
mag_beretta_9x18_alt,st_mag_beretta_9x18_fmj,small,17
mag_beretta_9x19_default,st_mag_beretta_9x19_fmj,small,17
mag_bizon_7.62x25_alt,st_mag_bizon_7.62x25_p,medium,64
mag_bizon_9x18_defalt,st_mag_bizon_9x18_fmj,medium,64
mag_bizon_9x19_alt,st_mag_bizon_9x19_fmj,medium,64
mag_bolt_300_default,st_mag_trg_magnum_300,small,5
mag_colt1911_762x25,st_ppp_colt1911_762x25_fmj,small,12
mag_colt1911_default,st_mag_colt1911_11.43x23_fmj,small,7
mag_colt1911_extended,ext_mag_colt1911_11.43x23_fmj,small,15
mag_coonan_357_default,st_mag_ppp_1911_357_fmj,small,7
mag_coonan_357_ext,ext_mag_ppp_1911_357_fmj,small,12
mag_cz52_default,st_mag_cz52_7.62x25_p,small,8
mag_cz75_9x18_alt,st_mag_cz75_9x18_fmj,small,16
mag_cz75_9x19_default,st_mag_cz75_9x19_fmj,small,16
mag_deserteagal_default,st_mag_desert_eagle_357_hp,small,9
mag_dvl_338fed,st_mag_dvl_338,medium,10
mag_dvl_7.62x51,st_mag_dvl_7.62x51,medium,10
mag_fn57_default,st_mag_fn57_5.7x28_ss190,small,20
mag_fnp45_default,st_mag_fnp45_11.43x23_fmj,small,15
mag_fnx45_default,st_mag_fnx45_11.43x23_fmj,small,15
mag_fort_9x18_default,st_mag_fort_9x18_fmj,small,12
mag_fort_9x19_alt,st_mag_fort_9x19_fmj,small,12
mag_frasier_11.43x23_default,st_mag_mp5_11.43x23_fmj,small,30
mag_g36_5.56x45_default,st_mag_g36_5.56x45,medium,30
mag_g43_7.92x33_default,st_mag_g43_7.92x33,medium,10
mag_galil_7.62x51_default,st_mag_galil_7.62x51,medium,25
mag_galil_7.62x54_7h1_default,st_mag_galil_7.62x54_7h1,medium,25
mag_glock_9x18_alt,st_mag_glock_9x18_fmj,small,17
mag_glock_9x19_default,st_mag_glock_9x19_fmj,small,17
mag_grot,st_mag_grot,medium,30
mag_gsh18_9x19_default,st_mag_gsh18_9x19_fmj,small,18
mag_hinge_7.62x51_default,st_mag_hinge_7.62x51,medium,20
mag_hinge_7.62x51_extended,st_mag_hinge_ext_7.62x51,medium,30
mag_hk21_7.62x51_default,st_mag_hk21_7.62x51,large,100
mag_hpsa_9x18_alt,st_mag_hpsa_9x18_fmj,small,13
mag_hpsa_9x19_default,st_mag_hpsa_9x19_fmj,small,13
mag_k98_7.62x51,st_mag_k98_7.62x51,small,7
mag_k98_7.62x54,st_mag_k98_7.62x54,small,7
mag_k98_7.92x33,st_mag_k98_7.92x33,small,7
mag_kiparis_9x18_50,st_mag_baskiparis_9x18_81,medium,50
mag_kiparis_9x18_default,st_mag_kiparis_9x18_fmj,small,30
mag_kiparis_9x19_50,st_mag_baskiparis_9x19_81,mediun,50
mag_kiparis_9x19_alt,st_mag_kiparis_9x19_fmj,small,30
mag_kriss_11.43x23_default,mag_kriss45,small,30
mag_kriss_11.43x23_ext,ext_mag_kriss_drum,medium,45
mag_kriss_9x19_default,mag_kriss9,small,33
mag_kriss_9x19_ext,ext_mag_kriss9_drum,medium,50
mag_l96a1_7.62x51_default,st_mag_l96a1_7.62x51,medium,10
mag_lancer,st_mag_lancer,medium,25
mag_legion_9x19,st_mag_ppp_sig_9x19_fmj,small,13
mag_m1a1_11.43x23_default,st_mag_m1a1_11.43x23_fmj,small,30
mag_m249_5.56x45_default,st_mag_m249_5.56x45,large,100
mag_m82_12.7x55_default,st_mag_m82_12.7x55,medium,10
mag_m98b_300_default,st_mag_m98b_magnum_300,medium,10
mag_mac10_9x18_alt,st_mag_mac10_9x18_standard,small,32
mag_mac10_9x18_ext_alt,st_mag_mac10_9x18_ext,medium,50
mag_mac10_9x19_ext,st_mag_mac10_9x19_ext,medium,50
mag_mac10_9x19_standard,st_mag_mac10_9x19_standard,small,32
mag_mk23_45,st_mag_ppp_mk23_45,small,22
mag_mp443_9x18_alt,st_mag_mp443_9x18_fmj,small,18
mag_mp443_9x19_default,st_mag_mp443_9x19_fmj,small,18
mag_mp5_9x18_alt,st_mag_mp5_9x18_fmj,small,30
mag_mp5_9x18_extended,st_mag_mp5_9x18_fmjext,medium,40
mag_mp5_9x18_extended50,st_mag_mp5_9x18_fmjext50,medium,50
mag_mp5_9x19_default,st_mag_mp5_9x19_fmj,small,30
mag_mp5_9x19_extended,st_mag_mp5_9x19_fmjext,medium,40
mag_mp5_9x19_extended50,st_mag_mp5_9x19_fmjext50,medium,50
mag_mp7_5.7x28_default,st_mag_mp7_5.7x28_ss190,medium,40
mag_mp7_5.7x28_small,st_mag_mp7_5.7x28_short,small,30
mag_mp7_9x18_alt,st_mag_mp7_9x18_fmj,medium,40
mag_mp7_9x19_default,st_mag_mp7_9x19_fmj,medium,40
mag_mp9iwp,st_mag_mp9iwp,small,30
mag_mp9iwp_9x18,st_mag_mp9iwp_9x18,small,30
mag_mp9iwp_9x18_ext,st_mag_mp9iwp_9x18_ext,medium,40
mag_mp9iwp_ext,st_mag_mp9iwp_ext,medium,40
mag_nato_5.45x39_alt,st_mag_nato_5.45x39,medium,30
mag_nato_5.56x45_casket,st_mag_nato_5.56x45_casket,medium,60
mag_nato_5.56x45_default,st_mag_stanag,medium,30
mag_nato_5.56x45_drum,st_mag_nato_5.56x45_drum,medium,60
mag_nato_5.56x45_drum_ext,st_mag_nato_5.56x45_drum_ext,large,100
mag_nato_5.56x45_extended,st_mag_nato_5.56x45_extended,medium,40
mag_nato_5.56x45_fast,st_mag_nato_5.56x45_fast,medium,30
mag_nato_5.56x45_short,st_mag_stanag_short,small,20
mag_oc_9x18_default,st_mag_oc33_9x18_fmj,small,27
mag_oc_9x19_alt,st_mag_oc33_9x19_fmj,small,27
mag_ots_9x39_default,st_mag_groza_9x39_pab9,medium,20
mag_p220_9x19_u2p2bas,st_mag_p220_9x19_u2p2bas,small,19
mag_p90_5.7x28_default,st_mag_p90_5.7x28_ss190,medium,50
mag_p90_5.7x28_ext,st_mag_p90_ext,medium,75
mag_pkp_pkm_default,st_mag_pkm_pkm,large,100
mag_pm_9x18_default,st_mag_pm_9x18_fmj,small,8
mag_pm_9x19_alt,st_mag_pm_9x19_fmj,small,8
mag_pmm_9x18_default,st_mag_pmm_9x18_fmj,small,20
mag_pmm_9x19_alt,st_mag_pmm_9x19_fmj,small,12
mag_pp2000_9x18_alt,st_mag_pp2000_9x18_fmj,small,30
mag_pp2000_9x18_ext_alt,st_mag_pp2000_9x18_ext,medium,45
mag_pp2000_9x19_default,st_mag_pp2000_9x19_fmj,small,30
mag_pp2000_9x19_ext,st_mag_pp2000_9x19_ext,medium,45
mag_ppp_glock_45_default,st_ppp_glock_45_fmj,small,13
mag_ppsh_7.62x25_default,st_mag_ppsh41_7.62x25_p,large,71
mag_ppsh_7.62x25_stick,st_mag_ppsh41_7.62x25_stick,small,35
mag_px4_45_default,st_mag_ppp_px4_45,small,10
mag_px4_9x19_default,st_mag_ppp_px4_9x19_fmj,small,20
mag_raptr_12x76_default,mag_raptr,large,20
mag_rem_7.62x51_default,st_mag_remington700_7.62x51,small,5
mag_remington700_7.62x51,st_mag_basremington700_7.62x51,medium,12
mag_remingtonarchangel_7.62x51,st_mag_remingtonarchangel_7.62x51,medium,20
mag_remingtonla_300,st_mag_remingtonla_300,medium,5
mag_remingtonla_300_gamma,st_mag_remingtonla_300,medium,5
mag_rpd_7.62x39_default,st_mag_rpd_7.62x39,large,100
mag_rpk_5.45x39_default,st_mag_rpk74_5.45x39,medium,45
mag_rpk_5.56x45_default,st_mag_rpk74_5.56x45,medium,45
mag_rpk_7.62x39_default,st_mag_rpk_7.62x39,medium,40
mag_rxp_45,st_mag_ppp_signimble_45_fmj,small,10
mag_rxp_9x19,st_mag_ppp_signimble_9x19_fmj,small,17
mag_saiga12_drum,st_mag_saiga12_drum,large,20
mag_saiga12s_12x70_default,st_mag_saiga12s_12x70,medium,8
mag_saiga12s_12x70_extended,st_mag_saiga12s_ext_12x70,medium,12
mag_sig_5.56x45_default,st_mag_sig550_5.56x45,medium,30
mag_sig_5.56x45_sniper,st_mag_sig550_sniper_5.56x45,small,20
mag_sigp220_default,st_mag_sigp220_11.43x23_fmj,small,7
mag_sigp220_extended,st_mag_sigp220_11.43x23_fmjext,small,12
mag_sks_7.62x39,st_mag_sks_7.62x39,medium,20
mag_sks_7.62x39_extended,st_mag_sksext_7.62x39,medium,30
mag_sks_7.62x54,st_mag_sks_7.62x54,medium,20
mag_sks_7.62x54_extended,st_mag_sks_7.62x54ext,medium,30
mag_sr1m_9x21_default,st_mag_sr1m_9x21,small,18
mag_sr1m_9x21_extended,st_mag_sr1m_9x21ext,small,26
mag_sr2m_9x18_veresk,st_mag_sr2m_9x18_veresk,small,30
mag_sr2m_9x21_veresk,st_mag_sr2m_9x21_veresk,small,30
mag_stanag_7.62x51_default,st_mag_stanag_7.62x51,medium,20
mag_stanag_7.62x51_extended,st_mag_stanag_7.62x51_ext,medium,30
mag_stanag_7.62x51_fast,st_mag_stanag_fast_7.62x51,medium,20
mag_stanag_7.62x51_short,st_mag_stanag_7.62x51_short,medium,10
mag_steyr_556,st_mag_steyr_556,small,8
mag_steyr_762,st_mag_steyr_762,small,5
mag_sv98_7.62x54_default,st_mag_sv98_7.62x54,medium,10
mag_svd_7.62x54_default,st_mag_svd_7.62x54,medium,10
mag_svd_7.62x54_extended,st_mag_svd_7.62x54_extended,medium,20
mag_svi_45,st_mag_ppp_svi_45,small,15
mag_svt_7.62x39_alt,st_mag_svt40_7.62x39,medium,10
mag_svt_7.62x54_default,st_mag_svt40_7.62x54,medium,10
mag_sw_45_default,st_ppp_sw_45_fmj,small,8
mag_sw_919_default,st_ppp_sw_919_fmj,small,13
mag_t63_7.62x39_default,st_mag_type63_7.62x39,small,20
mag_t63_7.62x54_alt,st_mag_type63_7.62x54,medium,20
mag_tt33_7.62x25_default,st_mag_tt33_7.62x25_p,small,8
mag_tt33_7.62x25_ext,st_mag_tt33_7.62x25_p,small,13
mag_ump45_11.43x23_default,st_mag_ump45_11.43x23_fmj,small,25
mag_usas12_12x70_default,st_mag_usas12_12x70,large,20
mag_usp_11.43x23_default,st_mag_usp_11.43x23_fmj,small,12
mag_usptac_9x19,st_mag_usptac_9x19_fmj,small,22
mag_usptac_9x19_extended,st_mag_usptac_9x19_fmjext,small,30
mag_uzi_9x19_default,st_mag_uzi_9x19,small,20
mag_uzi_9x19_extended,st_mag_uzi_9x19_extended,small,32
mag_val_9x39_default,st_mag_val_9x39_pab9,medium,20
mag_vepr_12x70_compact,st_mag_vepr_compact_12x70,small,5
mag_vepr_12x70_default,st_mag_vepr_12x70,medium,10
mag_vihr_9x39_default,st_mag_vihr_9x39_pab9,medium,30
mag_vityaz_9x18_alt,st_mag_vityaz_9x18_fmj,small,30
mag_vityaz_9x19_default,st_mag_vityaz_9x19_fmj,small,30
mag_vsk_12.7x55_default,st_mag_vssk_12.7x55,small,5
mag_vsk_9x39_default,st_mag_vsk94_9x39_pab9,medium,20
mag_vss_9x39_default,st_mag_vintorez_9x39_pab9,small,10
mag_vz61_9x18_alt,st_mag_vz61_9x18_fmj,small,20
mag_vz61_9x19_default,st_mag_vz61_9x19_fmj,small,20
mag_wa_7.62x51_default,st_mag_wa2000_7.62x51,small,6
mag_wp99_9x19,st_mag_wp99_9x19_fmj,small,16
mag_wp99_9x19_extended,st_mag_wp99_9x19_fmjext,small,24
mag_xd9_9x19_default,st_ppp_xd9_9x19_fmj,small,9
tch_mag_base,st_mag_base,small,0
