~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed,st_data_export_hit_fraction_actor,st_data_export_br_class,st_data_export_bone_armor,st_data_export_ap_scale
dolg_scientific_wood_outfit,dolg,dolg_scientific_wood_outfit_name,dolg_scientific_wood_outfit_description,19.80,119572,M,N,32,20%,18%,46%,35%,30%,22%,16%,10%,15%,4,6,24,99%,0.68,0.52,0.2625,0.9
dolg_scout_outfit,dolg,dolg_scout_outfit_name,dolg_scout_outfit_description,9.00,75384,M,N,30,20%,26%,7%,20%,10%,9%,4%,7%,15%,2,4,24,108%,0.7,0.52,0.2625,0.9
dolg_voin_outfit,dolg,dolg_voin_outfit_name,dolg_voin_outfit_description,22.50,57395,M,N,36,27%,35%,7%,10%,10%,5%,16%,12%,25%,2,3,24,99%,0.64,0.48,0.3375,0.9
ecolog_guard_outfit,ecolog,ecologist_guard_outfit_name,ecologist_guard_outfit_description,20.00,70952,M,N,29,22%,33%,5%,12%,12%,6%,24%,17%,20%,3,4,24,98%,0.71,0.55,0.275,0.9
ecolog_outfit_blue,ecolog,st_ecologist_outfit_blue_name,st_ecologist_outfit_blue_description,5.60,137017,M,N,9,8%,6%,47%,96%,48%,48%,48%,60%,4%,4,6,15,101%,0.91,0.9,0.1125,0.9
ecolog_outfit_green,ecolog,st_ecologist_outfit_grn_name,st_ecologist_outfit_grn_description,5.60,139744,M,N,9,10%,6%,60%,59%,60%,54%,60%,60%,4%,4,6,15,101%,0.91,0.9,0.125,0.9
ecolog_outfit_orange,ecolog,st_ecologist_outfit_orange_name,st_ecologist_outfit_orange_description,5.60,151369,M,N,9,8%,6%,47%,48%,48%,72%,48%,60%,4%,5,7,15,101%,0.91,0.9,0.1125,0.9
ecolog_outfit_red,ecolog,st_ecologist_outfit_red_name,st_ecologist_outfit_red_description,5.60,137017,M,N,9,8%,6%,95%,48%,48%,48%,48%,60%,4%,4,6,15,101%,0.91,0.9,0.1125,0.9
ecolog_outfit_white,ecolog,st_ecologist_outfit_white_name,st_ecologist_outfit_white_description,5.60,137017,M,N,9,8%,6%,47%,48%,48%,48%,96%,60%,4%,4,6,15,101%,0.91,0.9,0.1125,0.9
ecolog_outfit_yello,ecolog,st_ecologist_outfit_yello_name,st_ecologist_outfit_yello_description,5.60,137017,M,N,9,8%,6%,47%,48%,96%,48%,48%,60%,4%,4,6,15,101%,0.91,0.9,0.1125,0.9
greh_armored_camo_outfit,greh,greh_armored_camo_outfit_name,greh_armored_camo_outfit_description,17.00,83932,M,N,29,20%,11%,34%,14%,5%,16%,15%,5%,5%,4,6,19,99%,0.71,0.5,0.25,0.9
greh_armored_outfit,greh,greh_armored_outfit_name,greh_armored_outfit_description,28.00,65642,M,N,36,29%,11%,1%,2%,5%,8%,20%,5%,25%,4,5,24,92%,0.64,0.5,0.3625,0.9
greh_ps5_outfit,greh,greh_ps5_outfit_name,greh_ps5_outfit_description,14.00,59328,M,N,31,22%,17%,5%,20%,10%,7%,5%,10%,15%,4,4,16,103%,0.69,0.52,0.275,0.9
isg_camo_outfit,isg,isg_merc_outfit_name,isg_merc_outfit_description,30.00,49847,M,N,43,27%,27%,5%,10%,10%,5%,20%,8%,25%,2,3,21,95%,0.57,0.52,0.3375,0.9
isg_lcs_outfit,isg,isg_lcs_outfit_name,isg_lcs_outfit_description,33.60,43393,M,N,46,30%,13%,1%,2%,5%,8%,20%,3%,25%,2,3,27,91%,0.54,0.48,0.375,0.9
isg_lcs_urban_outfit,isg,isg_lcs_urban_outfit_name,isg_lcs_urban_outfit_description,20.40,46099,M,N,37,20%,13%,34%,14%,5%,16%,15%,3%,5%,2,3,21,98%,0.63,0.48,0.2625,0.9
isg_outfit,isg,isg_outfit_name,isg_outfit_description,16.80,83283,M,N,40,22%,22%,5%,20%,10%,7%,5%,6%,15%,3,5,18,102%,0.6,0.52,0.2875,0.9
isg_scientific_outfit,isg,isg_scientific_outfit_name,isg_scientific_outfit_description,20.40,87591,M,N,36,18%,15%,40%,29%,20%,26%,15%,8%,10%,3,5,19,97%,0.64,0.5,0.2375,0.9
merc_coyote_outfit,killer,merc_coyote_outfit_name,merc_coyote_outfit_description,31.00,62915,M,N,44,37%,15%,1%,3%,5%,2%,22%,5%,36%,3,4,21,93%,0.56,0.5,0.4625,0.9
merc_jackal_outfit,killer,merc_jackal_outfit_name,merc_jackal_outfit_description,22.00,58615,M,N,35,29%,11%,1%,3%,5%,8%,20%,5%,30%,3,4,25,95%,0.65,0.5,0.3625,0.9
merc_outfit,killer,merc_outfit_name,merc_outfit_description,28.00,45649,M,N,42,32%,13%,1%,3%,5%,6%,20%,5%,30%,2,3,23,94%,0.58,0.5,0.4125,0.9
merc_scientific_armored_outfit,killer,merc_scientific_armored_outfit_name,merc_scientific_armored_outfit_description,19.00,105419,M,N,37,30%,14%,30%,58%,15%,19%,10%,25%,12%,3,5,19,101%,0.63,0.37,0.375,0.9
merc_scientific_outfit,killer,merc_scientific_outfit_name,merc_scientific_outfit_description,17.00,92625,M,N,33,20%,15%,40%,39%,20%,21%,15%,15%,12%,3,5,16,100%,0.67,0.52,0.2625,0.9
merc_sun_outfit,killer,merc_sun_outfit_name,merc_sun_outfit_description,25.00,53949,M,N,40,30%,27%,5%,12%,10%,4%,20%,15%,30%,2,3,18,98%,0.6,0.53,0.375,0.9
merc_sunset_outfit,killer,merc_sunset_outfit_name,merc_sunset_outfit_description,17.00,47723,M,N,34,22%,13%,34%,20%,5%,13%,15%,5%,6%,2,3,18,101%,0.66,0.5,0.2875,0.9
monolith_outfit,monolith,monolith_outfit_name,monolith_outfit_description,25.00,72323,M,N,36,30%,29%,5%,10%,10%,4%,26%,15%,25%,2,4,21,97%,0.64,0.53,0.375,0.9
monolith_scientific_light_outfit,monolith,monolith_scientific_light_outfit_name,monolith_scientific_light_outfit_description,14.00,96460,M,N,27,17%,13%,34%,40%,24%,18%,16%,25%,5%,3,5,25,103%,0.73,0.52,0.225,0.9
monolith_scientific_outfit,monolith,monolith_scientific_outfit_name,monolith_scientific_outfit_description,17.00,91922,M,N,30,20%,17%,40%,29%,20%,21%,20%,15%,10%,3,5,19,99%,0.7,0.52,0.2625,0.9
nomad_outfit,stalker,nomad_outfit_name,nomad_outfit_description,20.70,100114,M,N,31,22%,27%,10%,10%,30%,14%,20%,17%,25%,4,5,31,99%,0.69,0.48,0.2875,0.9
renegade_scientific_outfit,renegade,renegade_scientific_outfit_name,renegade_scientific_outfit_description,17.00,78600,M,N,33,20%,19%,40%,29%,20%,26%,15%,15%,10%,2,4,22,100%,0.67,0.52,0.2625,0.9
renegademerc_outfit,renegade,renegademerc_outfit_name,renegademerc_outfit_description,28.00,33088,M,N,42,32%,17%,1%,2%,5%,8%,20%,5%,25%,1,2,31,94%,0.58,0.5,0.4125,0.9
scientific_outfit,stalker,scientific_outfit_name,scientific_outfit_description,15.30,116790,M,N,27,17%,19%,40%,29%,20%,31%,15%,17%,10%,4,6,26,100%,0.73,0.52,0.2125,0.9
specops_bandit_outfit,bandit,specops_bandit_outfit_name,specops_bandit_outfit_description,10.50,72498,M,N,24,18%,31%,5%,20%,10%,5%,5%,34%,30%,2,3,49,107%,0.76,0.48,0.2375,0.9
specops_dolg_outfit,dolg,specops_dolg_outfit_name,specops_dolg_outfit_description,13.50,46043,M,N,30,18%,37%,7%,20%,10%,5%,4%,27%,30%,2,2,38,105%,0.7,0.48,0.2375,0.9
specops_merc_outfit,killer,specops_merc_outfit_name,specops_merc_outfit_description,15.00,85384,M,N,33,20%,28%,5%,25%,10%,4%,5%,34%,36%,2,4,28,104%,0.67,0.48,0.2625,0.9
specops_outfit,army,specops_outfit_name,specops_outfit_description,18.00,44431,M,N,33,22%,37%,3%,16%,8%,5%,4%,31%,36%,1,2,34,102%,0.67,0.48,0.2875,0.9
stalker_bear_outfit,stalker,stalker_bear_outfit_name,stalker_bear_outfit_description,13.50,75411,M,N,29,18%,25%,20%,20%,30%,14%,5%,24%,10%,3,4,19,105%,0.71,0.55,0.2375,0.9
stalker_drought_outfit,stalker,stalker_drought_outfit_name,stalker_drought_outfit_description,9.90,80015,M,N,26,16%,24%,44%,20%,30%,14%,5%,24%,10%,3,4,19,107%,0.74,0.55,0.2,0.9
stalker_graphite_outfit,stalker,stalker_graphite_outfit_name,stalker_graphite_outfit_description,9.90,80015,M,N,26,16%,24%,20%,44%,30%,14%,5%,24%,10%,3,4,19,107%,0.74,0.55,0.2,0.9
stalker_tigerstripe_outfit,stalker,stalker_tigerstripe_outfit_name,stalker_tigerstripe_outfit_description,8.10,77237,M,N,23,13%,28%,20%,20%,30%,14%,5%,24%,10%,3,4,19,109%,0.77,0.55,0.175,0.9
svoboda_heavy_outfit,freedom,svoboda_heavy_outfit_name,svoboda_heavy_outfit_description,15.00,64427,M,N,33,18%,26%,5%,20%,13%,5%,6%,34%,30%,3,3,38,103%,0.67,0.48,0.2375,0.9
svoboda_heavy_outfit_2,freedom,svoboda_heavy_outfit_2_name,svoboda_heavy_outfit_2_description,14.00,51168,M,N,36,22%,18%,5%,20%,13%,7%,6%,10%,15%,3,3,20,104%,0.64,0.52,0.2875,0.9
svoboda_light_outfit,freedom,svoboda_light_outfit_name,svoboda_light_outfit_description,25.00,53399,M,N,40,27%,24%,5%,10%,13%,5%,24%,15%,25%,2,3,24,97%,0.6,0.53,0.3375,0.9
svoboda_scientific_outfit,freedom,svoboda_scientific_outfit_name,svoboda_scientific_outfit_description,17.00,93555,M,N,33,18%,13%,40%,29%,26%,26%,18%,15%,10%,3,5,22,99%,0.67,0.52,0.2375,0.9
trenchcoat_brown_outfit,st_data_export_unknown,trenchcoat_brown_outfit_name,trenchcoat_brown_outfit_description,12.00,52133,M,N,27,16%,24%,15%,14%,15%,10%,5%,30%,10%,3,3,22,105%,0.73,0.57,0.2,0.9
trenchcoat_dolg_brown_outfit,dolg,trenchcoat_dolg_brown_outfit_name,trenchcoat_brown_outfit_description,10.80,55586,M,N,28,17%,26%,20%,14%,24%,10%,4%,15%,10%,3,3,22,106%,0.72,0.57,0.225,0.9
wastelander_outfit,stalker,wastelander_outfit_name,wastelander_outfit_description,11.70,101663,M,N,28,18%,17%,30%,14%,5%,23%,15%,6%,5%,5,6,28,99%,0.72,0.48,0.2375,0.9
