~,pda_encyclopedia_name,st_data_export_description,st_upgr_cost,st_prop_weight
prt_o_fabrics_1,st_prt_o_fabrics_1,st_prt_o_fabrics_1_descr,200,0.07
prt_o_fabrics_2,st_prt_o_fabrics_2,st_prt_o_fabrics_2_descr,200,0.06
prt_o_fabrics_3,st_prt_o_fabrics_3,st_prt_o_fabrics_3_descr,200,0.05
prt_o_fabrics_4,st_prt_o_fabrics_4,st_prt_o_fabrics_4_descr,200,0.08
prt_o_retardant_1,st_prt_o_retardant_1,st_prt_o_retardant_1_descr,550,0.10
prt_o_retardant_10,st_prt_o_retardant_10,st_prt_o_retardant_10_descr,550,0.10
prt_o_retardant_11,st_prt_o_retardant_11,st_prt_o_retardant_11_descr,550,0.10
prt_o_retardant_12,st_prt_o_retardant_12,st_prt_o_retardant_12_descr,550,0.10
prt_o_retardant_13,st_prt_o_retardant_13,st_prt_o_retardant_13_descr,550,0.10
prt_o_retardant_14,st_prt_o_retardant_14,st_prt_o_retardant_14_descr,550,0.10
prt_o_retardant_15,st_prt_o_retardant_15,st_prt_o_retardant_15_descr,550,0.10
prt_o_retardant_16,st_prt_o_retardant_16,st_prt_o_retardant_16_descr,550,0.10
prt_o_retardant_17,st_prt_o_retardant_17,st_prt_o_retardant_17_descr,550,0.10
prt_o_retardant_18,st_prt_o_retardant_18,st_prt_o_retardant_18_descr,550,0.10
prt_o_retardant_19,st_prt_o_retardant_19,st_prt_o_retardant_19_descr,550,0.10
prt_o_retardant_2,st_prt_o_retardant_2,st_prt_o_retardant_2_descr,550,0.10
prt_o_retardant_20,st_prt_o_retardant_20,st_prt_o_retardant_20_descr,550,0.10
prt_o_retardant_3,st_prt_o_retardant_3,st_prt_o_retardant_3_descr,550,0.10
prt_o_retardant_4,st_prt_o_retardant_4,st_prt_o_retardant_4_descr,550,0.10
prt_o_retardant_5,st_prt_o_retardant_5,st_prt_o_retardant_5_descr,550,0.10
prt_o_retardant_6,st_prt_o_retardant_6,st_prt_o_retardant_6_descr,550,0.10
prt_o_retardant_7,st_prt_o_retardant_7,st_prt_o_retardant_7_descr,550,0.10
prt_o_retardant_8,st_prt_o_retardant_8,st_prt_o_retardant_8_descr,550,0.10
prt_o_retardant_9,st_prt_o_retardant_9,st_prt_o_retardant_9_descr,550,0.10
prt_o_support_1,st_prt_o_support_1,st_prt_o_support_1_descr,5000,6.70
prt_w_barrel_1,st_barrel_1,st_barrel_1_descr,800,0.75
prt_w_barrel_10,st_barrel_10,st_barrel_10_descr,800,0.75
prt_w_barrel_11,st_barrel_11,st_barrel_11_descr,800,0.15
prt_w_barrel_12,st_barrel_12,st_barrel_12_descr,800,0.15
prt_w_barrel_13,st_barrel_13,st_barrel_13_descr,800,0.75
prt_w_barrel_2,st_barrel_2,st_barrel_2_descr,800,0.75
prt_w_barrel_3,st_barrel_3,st_barrel_3_descr,800,0.40
prt_w_barrel_4,st_barrel_4,st_barrel_4_descr,800,0.50
prt_w_barrel_5,st_barrel_5,st_barrel_5_descr,800,0.50
prt_w_barrel_6,st_barrel_6,st_barrel_6_descr,800,0.37
prt_w_barrel_7,st_barrel_7,st_barrel_7_descr,800,0.33
prt_w_barrel_8,st_barrel_8,st_barrel_8_descr,800,0.30
prt_w_barrel_9,st_barrel_9,st_barrel_9_descr,800,0.30
prt_w_bolt_1,st_bolt_1,st_bolt_1_descr,600,0.07
prt_w_bolt_10,st_bolt_10,st_bolt_10_descr,600,0.07
prt_w_bolt_11,st_bolt_11,st_bolt_11_descr,600,0.07
prt_w_bolt_12,st_bolt_12,st_bolt_12_descr,600,0.07
prt_w_bolt_13,st_bolt_13,st_bolt_13_descr,600,0.07
prt_w_bolt_14,st_bolt_14,st_bolt_14_descr,600,0.07
prt_w_bolt_15,st_bolt_15,st_bolt_15_descr,600,0.07
prt_w_bolt_16,st_bolt_16,st_bolt_16_descr,600,0.07
prt_w_bolt_17,st_bolt_17,st_bolt_17_descr,600,0.07
prt_w_bolt_2,st_bolt_2,st_bolt_2_descr,600,0.07
prt_w_bolt_3,st_bolt_3,st_bolt_3_descr,600,0.07
prt_w_bolt_4,st_bolt_4,st_bolt_4_descr,600,0.07
prt_w_bolt_5,st_bolt_5,st_bolt_5_descr,600,0.07
prt_w_bolt_6,st_bolt_6,st_bolt_6_descr,600,0.07
prt_w_bolt_7,st_bolt_7,st_bolt_7_descr,600,0.07
prt_w_bolt_8,st_bolt_8,st_bolt_8_descr,600,0.07
prt_w_bolt_9,st_bolt_9,st_bolt_9_descr,600,0.07
prt_w_bolt_carrier_1,st_bolt_carrier_1,st_bolt_carrier_1_descr,700,0.20
prt_w_bolt_carrier_10,st_bolt_carrier_10,st_bolt_carrier_10_descr,700,0.15
prt_w_bolt_carrier_11,st_bolt_carrier_11,st_bolt_carrier_11_descr,700,0.15
prt_w_bolt_carrier_2,st_bolt_carrier_2,st_bolt_carrier_2_descr,700,0.20
prt_w_bolt_carrier_3,st_bolt_carrier_3,st_bolt_carrier_3_descr,700,0.15
prt_w_bolt_carrier_4,st_bolt_carrier_4,st_bolt_carrier_4_descr,700,0.15
prt_w_bolt_carrier_5,st_bolt_carrier_5,st_bolt_carrier_5_descr,700,0.15
prt_w_bolt_carrier_6,st_bolt_carrier_6,st_bolt_carrier_6_descr,700,0.15
prt_w_bolt_carrier_7,st_bolt_carrier_7,st_bolt_carrier_7_descr,700,0.15
prt_w_bolt_carrier_8,st_bolt_carrier_8,st_bolt_carrier_8_descr,700,0.15
prt_w_bolt_carrier_9,st_bolt_carrier_9,st_bolt_carrier_9_descr,700,0.15
prt_w_gas_tube_1,st_gas_tube_1,st_gas_tube_1_descr,750,0.10
prt_w_gas_tube_10,st_gas_tube_10,st_gas_tube_10_descr,750,0.10
prt_w_gas_tube_11,st_gas_tube_11,st_gas_tube_11_descr,750,0.10
prt_w_gas_tube_2,st_gas_tube_2,st_gas_tube_2_descr,750,0.10
prt_w_gas_tube_3,st_gas_tube_3,st_gas_tube_3_descr,750,0.10
prt_w_gas_tube_4,st_gas_tube_4,st_gas_tube_4_descr,750,0.10
prt_w_gas_tube_5,st_gas_tube_5,st_gas_tube_5_descr,750,0.10
prt_w_gas_tube_6,st_gas_tube_6,st_gas_tube_6_descr,750,0.10
prt_w_gas_tube_7,st_gas_tube_7,st_gas_tube_7_descr,750,0.10
prt_w_gas_tube_8,st_gas_tube_8,st_gas_tube_8_descr,750,0.10
prt_w_gas_tube_9,st_gas_tube_9,st_gas_tube_9_descr,750,0.10
prt_w_p_barrel_1,st_prt_w_p_barrel_1,st_prt_w_p_barrel_1_descr,750,0.10
prt_w_p_barrel_2,st_prt_w_p_barrel_2,st_prt_w_p_barrel_2_descr,750,0.10
prt_w_p_barrel_3,st_prt_w_p_barrel_3,st_prt_w_p_barrel_3_descr,750,0.15
prt_w_p_barrel_4,st_prt_w_p_barrel_4,st_prt_w_p_barrel_4_descr,750,0.15
prt_w_p_barrel_5,st_prt_w_p_barrel_5,st_prt_w_p_barrel_5_descr,750,0.10
prt_w_p_barrel_6,st_prt_w_p_barrel_6,st_prt_w_p_barrel_6_descr,750,0.10
prt_w_p_barrel_7,st_prt_w_p_barrel_7,st_prt_w_p_barrel_7_descr,750,0.15
prt_w_p_spring_1,st_prt_w_p_spring_1,st_prt_w_p_spring_1_descr,850,0.05
prt_w_p_spring_2,st_prt_w_p_spring_2,st_prt_w_p_spring_2_descr,850,0.05
prt_w_p_spring_3,st_prt_w_p_spring_3,st_prt_w_p_spring_3_descr,850,0.05
prt_w_p_spring_4,st_prt_w_p_spring_4,st_prt_w_p_spring_4_descr,850,0.05
prt_w_p_spring_5,st_prt_w_p_spring_5,st_prt_w_p_spring_5_descr,850,0.05
prt_w_p_spring_6,st_prt_w_p_spring_6,st_prt_w_p_spring_6_descr,850,0.05
prt_w_p_trigger_1,st_prt_w_p_trigger_1,st_prt_w_p_trigger_1_descr,650,0.07
prt_w_p_trigger_2,st_prt_w_p_trigger_2,st_prt_w_p_trigger_2_descr,650,0.07
prt_w_p_trigger_3,st_prt_w_p_trigger_3,st_prt_w_p_trigger_3_descr,650,0.07
prt_w_p_trigger_4,st_prt_w_p_trigger_4,st_prt_w_p_trigger_4_descr,650,0.07
prt_w_trigger_components_1,st_trigger_components_1,st_trigger_components_1_descr,900,0.10
prt_w_trigger_components_2,st_trigger_components_2,st_trigger_components_2_descr,900,0.10
prt_w_trigger_components_3,st_trigger_components_3,st_trigger_components_3_descr,900,0.10
prt_w_trigger_components_4,st_trigger_components_4,st_trigger_components_4_descr,900,0.10
prt_w_trigger_components_5,st_trigger_components_5,st_trigger_components_5_descr,900,0.10
prt_w_trigger_components_6,st_trigger_components_6,st_trigger_components_6_descr,900,0.10
