~,silencer_status,scope_status,grenade_launcher_status
wpn_m16,2,0,2
wpn_m16a2,2,0,2
wpn_m24,0,1,0
wpn_m249,2,0,0
wpn_m4,2,0,2
wpn_m45a1,2,0,0
wpn_m4_butcher,2,0,0
wpn_m4_ru556,2,0,0
wpn_m4_tac,2,0,0
wpn_m4a1_camo,2,0,2
wpn_m4a1_siber,2,0,2
wpn_m60,0,0,0
wpn_m79,0,0,0
wpn_m82,0,1,0
wpn_m98b,2,1,0
wpn_mac10,2,0,0
wpn_mk14,2,0,0
wpn_mk47,2,0,0
wpn_mk47_sup,2,0,0
wpn_mosin,2,0,0
wpn_mosin_carbine,2,0,0
wpn_mosin_k,2,0,0
wpn_mossberg590,0,0,0
wpn_mossberg590_rail,0,0,0
wpn_mp133,0,0,0
wpn_mp153,0,0,0
wpn_mp153_m1,2,0,0
wpn_mp155,2,0,0
wpn_mp412,0,0,0
wpn_mp443,2,0,0
wpn_mp5,2,0,0
wpn_mp5_kurtz,2,0,0
wpn_mp5_nimble,2,0,0
wpn_mp5sd,1,0,0
wpn_mp7,2,0,0
wpn_mp9,2,0,0
wpn_obrez,2,0,0
wpn_oc33,2,0,0
wpn_p90,2,0,0
wpn_p90_gs,2,0,0
wpn_p90gamma,2,0,0
wpn_pb,1,0,0
wpn_pb_bas,1,0,0
wpn_pb_bas_custom,1,0,0
wpn_pdp,2,0,0
wpn_pdx,2,0,0
wpn_pdx_terminal,1,0,0
wpn_pkm,0,0,0
wpn_pkm_siber,0,0,0
wpn_pkm_zenit_siber,2,0,0
wpn_pkm_zulus,2,0,0
wpn_pkp,2,0,0
wpn_pkp_siber,2,0,0
wpn_pl15,2,0,0
wpn_pl15_pl15_scolaz,2,0,0
wpn_pl15_tan,2,0,0
wpn_pl15_tan_pl15_scolaz,2,0,0
wpn_pm,2,0,0
wpn_pm_actor,2,0,0
wpn_pm_bas,0,0,0
wpn_pm_bas_actor,2,0,0
wpn_pm_bas_custom,2,0,0
wpn_pm_custom,2,0,0
wpn_pmm_bas,2,0,0
wpn_pp2000,2,0,0
wpn_pp2000_operator,2,0,0
wpn_ppq5,2,0,0
wpn_ppq5_cinder,2,0,0
wpn_ppsh41,0,0,0
wpn_ppsh41_rednew,0,0,0
wpn_ppsh41_woodnew,0,0,0
wpn_protecta,0,0,0
wpn_protecta_aim,0,0,0
wpn_protecta_camo,0,0,0
wpn_protecta_custom,0,0,0
wpn_protecta_nimble,0,0,0
wpn_raptr,2,0,0
wpn_remington700,2,1,0
wpn_remington700_archangel,2,1,0
wpn_remington700_lapua700,2,1,0
wpn_remington700_magpul_pro,2,1,0
wpn_remington700_mod_x_gen3,2,1,0
wpn_remington870,0,0,0
wpn_rg-6,0,0,0
wpn_rpd,0,0,0
wpn_rpg7,0,0,0
wpn_rpk,0,0,0
wpn_rpk74,2,0,0
wpn_rpk74_16,2,0,0
wpn_rpk74_16_drum,2,0,0
wpn_saiga12s,2,0,0
wpn_saiga12s_isg,2,0,0
wpn_saiga12s_m1,2,0,0
wpn_saiga12s_m2,2,0,0
wpn_scar_new,2,0,2
wpn_scar_siber,2,0,2
wpn_scar_siber_black,2,0,2
wpn_scar_siber_m1,2,0,0
wpn_scar_siber_m1_black,2,0,0
wpn_scar_siber_m2,2,0,0
wpn_scar_siber_m2_custom,2,0,0
wpn_shiv,1,0,0
wpn_sig220,0,0,0
wpn_sig220_n,0,0,0
wpn_sig220_n_u2p2g0r,2,1,0
wpn_sig220_n_upg220,2,1,0
wpn_sig220_u2p2g0r,2,1,0
wpn_sig220_upg220,2,1,0
wpn_sig226,0,0,0
wpn_sig226_226sig_kit,2,1,0
wpn_sig550,2,0,0
wpn_sig550_camo,2,0,0
wpn_sig550_custom,2,0,2
wpn_sig550_luckygun,2,0,2
wpn_sig550_sniper,2,0,0
wpn_sig552,2,0,0
wpn_sks,0,2,0
wpn_sks_b,2,0,0
wpn_sks_modern,0,2,0
wpn_sks_molot,2,0,0
wpn_sks_tac,2,0,0
wpn_spas12,2,0,0
wpn_spas12_custom,2,0,0
wpn_spas12_nimble,2,0,0
wpn_sr1m,0,0,0
wpn_sr1m_gurza_up,2,0,0
wpn_sr1m_sr1upgr1,2,0,0
wpn_sr25,2,0,0
wpn_sr2_m1,2,0,0
wpn_sr2_veresk,2,0,0
wpn_sr2_veresk_sr2_upkit,1,1,0
wpn_steyr_scout,2,0,0
wpn_steyr_scout_big,2,1,0
wpn_sv98,2,1,0
wpn_sv98_custom,2,1,0
wpn_svd,2,0,0
wpn_svd_m1,2,0,0
wpn_svd_nimble,2,0,0
wpn_svds,2,0,0
wpn_svds_pmc,2,0,0
wpn_svt40,0,0,0
wpn_svu,1,0,0
wpn_svu_alt,1,0,0
wpn_svu_nimble,1,0,0
wpn_thompson_1921,0,0,0
wpn_thompson_m1a1,0,0,0
wpn_toz106,0,0,0
wpn_toz106_m1,0,0,0
wpn_toz34,0,0,0
wpn_toz34_bull,0,1,0
wpn_toz34_custom,0,0,0
wpn_toz34_decor,0,0,0
wpn_toz34_mark4,0,1,0
wpn_toz34_mark4_23,0,1,0
wpn_toz34_obrez,0,0,0
wpn_toz34_obrez_custom,0,0,0
wpn_toz34_obrez_decor,0,0,0
wpn_trg,2,1,0
wpn_tt33,2,0,0
wpn_tt33_modern,2,0,0
wpn_tt33_modern_tt_upgr_kit,2,0,0
wpn_tt33_tt_upgr_kit,2,0,0
wpn_type63,0,2,0
wpn_udp9,2,0,0
wpn_ump45,2,0,0
wpn_ump45_custom,2,0,0
wpn_usas12,2,0,0
wpn_usms,2,0,0
wpn_usms_liberty,2,0,0
wpn_usp,2,0,0
wpn_usp45c,2,0,0
wpn_usp45pm,2,0,0
wpn_usp_tac,2,0,0
wpn_usp_tac_45,2,0,0
wpn_uzi,2,0,0
wpn_uzi_micro,2,0,0
wpn_uzi_mini,2,0,0
wpn_val,1,0,0
wpn_val_modern,1,0,0
wpn_val_tac,1,0,0
wpn_vepr,2,0,0
wpn_vihr,2,0,0
wpn_vintorez,1,0,0
wpn_vintorez_isg,1,0,2
wpn_vintorez_m1,1,0,0
wpn_vintorez_m2,1,0,0
wpn_vintorez_n1,1,0,0
wpn_vintorez_nimble,1,0,0
wpn_vityaz,2,0,0
wpn_vityaz_vitup,2,0,0
wpn_vsk94,1,0,0
wpn_vssk,1,0,0
wpn_vz61,2,0,0
wpn_vz61_alt,2,0,0
wpn_wa2000,0,1,0
wpn_walther,0,0,0
wpn_walther_mod9,2,1,0
wpn_walther_p99,0,0,0
wpn_walther_p99_mod9,2,1,0
wpn_wincheaster1300,0,0,0
wpn_wincheaster1300_trapper,0,0,0
wpn_winchester1873,0,0,0
wpn_xm4,2,0,0
wpn_xm4_admin,2,1,0
wpn_xm4_bd,2,0,0
wpn_xm8,2,0,0
