~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed,st_data_export_hit_fraction_actor,st_data_export_br_class,st_data_export_bone_armor,st_data_export_ap_scale
dolg_nosorog_outfit,dolg,dolg_nosorog_outfit_name,nosorog_outfit_description,76.50,189919,E,Y,63,45%,41%,58%,2%,10%,12%,28%,3%,40%,3,5,115,105%,0.37,0.17,0.575,0.9
dolg_pantsir_outfit,dolg,dolg_pantsir_outfit_name,dolg_pantsir_outfit_description,22.50,78078,H,N,48,35%,28%,7%,5%,8%,5%,20%,7%,50%,2,3,42,104%,0.52,0.4,0.45,0.9
dolg_proto_exo_outfit,dolg,dolg_proto_exo_outfit_name,dolg_proto_exo_outfit_description,36.00,151238,H,Y,30,25%,28%,25%,12%,34%,17%,11%,12%,10%,4,5,96,109%,0.7,0.6,0.3125,0.9
dolg_specops_red_outfit,dolg,dolg_specops_red_outfit_name,dolg_specops_red_outfit_description,21.60,123638,H,N,42,37%,48%,7%,40%,15%,8%,4%,31%,35%,2,4,42,106%,0.58,0.48,0.4625,0.9
ecolog_exo_outfit,ecolog,ecolog_exo_outfit_name,ecolog_exo_outfit_description,56.00,192198,E,Y,47,35%,35%,47%,2%,12%,14%,36%,6%,30%,4,6,96,103%,0.53,0.265,0.4375,0.9
ecolog_proto_exo_outfit,ecolog,ecolog_proto_exo_outfit_name,ecolog_proto_exo_outfit_description,32.00,206010,H,Y,24,20%,26%,23%,14%,41%,20%,17%,17%,8%,5,7,96,108%,0.76,0.6,0.25,0.9
exo_dolg_outfit,dolg,exo_dolg_outfit_name,exo_dolg_outfit_description,25.20,80520,H,N,51,37%,47%,46%,2%,15%,18%,20%,3%,35%,2,3,28,97%,0.49,0.34,0.4625,0.9
exo_dolg_red_outfit,dolg,exo_dolg_red_outfit_name,exo_dolg_red_outfit_description,31.50,115995,H,N,50,35%,34%,51%,20%,24%,12%,28%,15%,30%,3,4,55,95%,0.5,0.34,0.4375,0.9
exo_dolg_urban_outfit,dolg,exo_dolg_urban_outfit_name,exo_dolg_urban_outfit_description,40.50,98417,H,N,60,46%,44%,46%,2%,15%,18%,24%,3%,40%,2,3,75,93%,0.4,0.34,0.5875,0.9
exo_dolg_wood_outfit,dolg,exo_dolg_wood_outfit_name,exo_dolg_wood_outfit_description,28.80,115444,H,N,53,39%,47%,33%,2%,15%,10%,20%,12%,35%,3,4,50,95%,0.47,0.28,0.4875,0.9
exo_merc_grass_outfit,killer,exo_merc_grass_outfit_name,exo_merc_grass_outfit_description,28.00,88368,H,N,56,40%,29%,20%,3%,20%,5%,20%,5%,34%,3,4,18,96%,0.44,0.34,0.5125,0.9
exo_merc_urban_outfit,killer,exo_merc_urban_outfit_name,exo_merc_urban_outfit_description,45.00,87872,H,N,66,51%,33%,34%,3%,15%,14%,30%,5%,48%,2,3,56,92%,0.34,0.34,0.65,0.9
exo_merc_wood_outfit,killer,exo_merc_wood_outfit_name,exo_merc_wood_outfit_description,32.00,104810,H,N,58,43%,34%,25%,3%,15%,8%,25%,15%,42%,3,4,37,94%,0.42,0.28,0.5375,0.9
exo_outfit,stalker,exo_outfit_name,exo_outfit_description,63.00,176027,E,Y,53,40%,35%,40%,2%,10%,14%,30%,6%,38%,3,5,115,103%,0.47,0.265,0.5,0.9
exo_wood_outfit,st_data_export_unknown,exo_wood_outfit_name,exo_wood_outfit_description,35.00,78678,H,N,55,41%,33%,34%,2%,15%,12%,25%,5%,35%,2,3,50,93%,0.45,0.34,0.525,0.9
exolight_outfit,stalker,exolight_outfit_name,exolight_outfit_description,31.50,109647,H,N,50,37%,35%,34%,2%,15%,14%,25%,6%,35%,3,4,60,93%,0.5,0.34,0.475,0.9
freedom_exo_vineleaf_outfit,freedom,freedom_exo_vineleaf_outfit_name,freedom_exo_vineleaf_outfit_description,38.00,107536,H,N,64,45%,29%,20%,20%,20%,4%,24%,20%,35%,3,4,42,94%,0.36,0.28,0.5625,0.9
freedom_nosorog_outfit,freedom,freedom_nosorog_outfit_name,freedom_nosorog_outfit_desc,85.00,174585,E,Y,69,45%,27%,44%,2%,13%,12%,42%,5%,40%,3,5,115,103%,0.31,0.17,0.575,0.9
greh_exo_outfit,greh,greh_exo_outfit_name,greh_exo_outfit_description,70.00,183961,E,Y,56,41%,23%,40%,2%,10%,12%,30%,5%,38%,5,7,76,101%,0.44,0.265,0.525,0.9
greh_trenchcoat_outfit,greh,greh_trenchcoat_outfit_name,greh_trenchcoat_outfit_description,21.00,121805,H,N,30,27%,19%,25%,25%,34%,25%,5%,25%,5%,6,6,24,104%,0.7,0.57,0.35,0.9
hybrid_outfit,st_data_export_unknown,hybrid_outfit_name,hybrid_outfit_description,28.00,130795,H,N,46,35%,25%,34%,44%,15%,30%,10%,40%,25%,3,5,28,101%,0.54,0.37,0.4375,0.9
isg_exo_outfit,isg,isg_exo_outfit_name,isg_exo_outfit_description,84.00,144300,E,Y,71,44%,29%,40%,2%,10%,12%,30%,3%,38%,3,5,86,100%,0.29,0.265,0.55,0.9
isg_exolight_outfit,isg,isg_exolight_outfit_name,isg_exolight_outfit_description,42.00,74250,H,N,66,41%,29%,34%,2%,15%,12%,25%,3%,35%,2,3,45,90%,0.34,0.28,0.525,0.9
isg_nosorog_outfit,isg,isg_nosorog_outfit_name,nosorog_outfit_description,102.00,154909,E,Y,76,45%,31%,44%,2%,10%,12%,35%,3%,40%,3,5,103,101%,0.24,0.17,0.575,0.9
isg_proto_exo_outfit,isg,isg_proto_exo_outfit_name,isg_proto_exo_outfit_description,48.00,176841,H,Y,36,25%,22%,20%,12%,34%,17%,14%,8%,10%,4,7,86,105%,0.64,0.58,0.3125,0.9
light_dolg_outfit,dolg,light_dolg_outfit_name,light_dolg_outfit_description,18.00,109080,H,N,34,29%,59%,7%,35%,20%,17%,4%,31%,15%,2,4,20,108%,0.66,0.47,0.3625,0.9
light_freedom_outfit,freedom,light_freedom_outfit_name,light_freedom_outfit_description,20.00,97944,H,N,37,29%,39%,5%,35%,26%,17%,6%,40%,15%,2,4,20,106%,0.63,0.47,0.3625,0.9
light_isg_outfit,isg,light_isg_outfit_name,light_isg_outfit_description,24.00,93184,H,N,41,29%,45%,5%,35%,20%,17%,5%,24%,15%,2,4,18,104%,0.59,0.47,0.3625,0.9
light_loner_outfit,stalker,light_loner_outfit_name,light_loner_outfit_description,18.00,134285,H,N,31,25%,54%,5%,35%,20%,20%,5%,48%,15%,3,5,24,107%,0.69,0.47,0.325,0.9
light_merc_outfit,killer,light_merc_outfit_name,light_merc_outfit_description,20.00,101650,H,N,37,32%,45%,5%,45%,20%,14%,5%,40%,18%,2,4,15,107%,0.63,0.47,0.4,0.9
light_monolit_outfit,monolith,light_monolit_outfit_name,light_monolit_outfit_description,20.00,101336,H,N,34,32%,50%,5%,35%,20%,14%,7%,40%,15%,2,4,18,106%,0.66,0.47,0.4,0.9
light_voen_outfit,army,light_voen_outfit_name,light_voen_outfit_description,24.00,78908,H,N,37,35%,59%,3%,28%,16%,17%,4%,35%,18%,1,3,18,105%,0.63,0.47,0.4375,0.9
merc_ace_outfit,killer,ace_outfit_name,ace_outfit_description,26.00,148992,H,N,46,37%,23%,44%,58%,30%,28%,10%,25%,12%,4,6,21,97%,0.54,0.37,0.4625,0.9
merc_combat_scientific_outfit,killer,merc_combat_scientific_outfit_name,merc_combat_scientific_outfit_description,28.00,130095,H,N,51,39%,23%,34%,58%,15%,24%,10%,40%,30%,3,5,21,98%,0.49,0.37,0.4875,0.9
merc_exo_outfit,killer,merc_exo_outfit_name,merc_exo_outfit_description,70.00,119274,E,Y,65,48%,29%,40%,3%,10%,10%,30%,5%,46%,2,4,72,103%,0.35,0.265,0.6,0.9
merc_exolight_outfit,killer,merc_exolight_outfit_name,merc_exolight_outfit_description,35.00,77213,H,N,61,45%,29%,34%,3%,15%,10%,25%,5%,42%,2,3,37,93%,0.39,0.34,0.575,0.9
merc_nighthunter_outfit,killer,merc_nighthunter_outfit_name,merc_nighthunter_outfit_description,23.00,73194,H,N,53,40%,23%,34%,32%,5%,10%,20%,10%,18%,2,3,20,103%,0.47,0.37,0.5125,0.9
merc_nosorog_outfit,killer,merc_nosorog_outfit_name,nosorog_outfit_description,85.00,160095,E,Y,69,50%,31%,44%,3%,10%,10%,35%,5%,48%,3,5,86,104%,0.31,0.17,0.6375,0.9
military_bandit_outfit,bandit,military_bandit_outfit_name,military_outfit_description,19.60,81432,H,N,42,39%,22%,5%,5%,8%,5%,25%,10%,50%,2,3,54,104%,0.58,0.4,0.4875,0.9
military_exo_outfit,army,military_exo_outfit_name,military_exo_outfit_description,84.00,123260,E,Y,65,53%,39%,31%,2%,8%,12%,24%,5%,46%,2,4,86,101%,0.35,0.265,0.6625,0.9
military_exolight_outfit,army,military_exolight_outfit_name,military_exolight_outfit_description,42.00,53636,H,N,61,50%,39%,28%,2%,12%,12%,20%,5%,42%,1,2,45,92%,0.39,0.34,0.625,0.9
military_freedom_outfit,freedom,military_freedom_outfit_name,military_outfit_description,28.00,74850,H,N,57,39%,17%,5%,5%,10%,5%,30%,10%,50%,2,3,42,100%,0.43,0.4,0.4875,0.9
military_merc_outfit,killer,military_merc_outfit_name,military_outfit_description,28.00,74159,H,N,57,43%,19%,5%,7%,8%,4%,25%,10%,60%,2,3,31,101%,0.43,0.4,0.5375,0.9
military_monolit_outfit,monolith,military_monolit_outfit_name,military_outfit_description,28.00,74310,H,N,52,43%,22%,5%,5%,8%,4%,33%,10%,50%,2,3,37,100%,0.48,0.4,0.5375,0.9
military_outfit,army,military_outfit_name,military_outfit_description,33.60,50549,H,N,57,46%,26%,3%,4%,6%,5%,20%,8%,60%,1,2,37,99%,0.43,0.4,0.5875,0.9
military_proto_exo_outfit,army,military_proto_exo_outfit_name,military_proto_exo_outfit_description,60.00,132330,E,Y,61,50%,29%,3%,2%,6%,5%,24%,8%,72%,2,4,86,106%,0.39,0.4,0.625,0.9
military_sky_outfit,csky,military_sky_outfit_name,military_outfit_description,28.00,72114,H,N,52,35%,19%,5%,6%,10%,6%,25%,10%,50%,2,3,42,101%,0.48,0.4,0.4375,0.9
monolith_exo_outfit,monolith,monolith_exo_outfit_name,monolith_exo_outfit_description,70.00,156366,E,Y,59,48%,33%,40%,2%,10%,10%,39%,5%,38%,3,5,86,102%,0.41,0.265,0.6,0.9
monolith_exolight_outfit,monolith,monolith_exolight_outfit_name,monolith_exolight_outfit_description,35.00,78246,H,N,55,45%,33%,34%,2%,15%,10%,33%,5%,35%,2,3,45,92%,0.45,0.34,0.575,0.9
monolith_nosorog_outfit,monolith,monolith_nosorog_outfit_name,nosorog_outfit_description,85.00,170079,E,Y,63,50%,34%,44%,2%,10%,10%,46%,5%,40%,3,5,103,103%,0.37,0.17,0.6375,0.9
monolith_proto_exo_outfit,monolith,monolith_proto_exo_outfit_name,monolith_proto_exo_outfit_description,40.00,190695,H,Y,30,27%,24%,20%,12%,34%,14%,18%,15%,10%,4,7,86,107%,0.7,0.6,0.35,0.9
monolith_trenchcoat_outfit,monolith,monolith_trenchcoat_outfit_name,trenchcoat_outfit_description,21.00,114062,H,N,32,32%,27%,25%,25%,34%,20%,7%,25%,5%,3,5,27,104%,0.68,0.57,0.4,0.9
renegade_exo_outfit,renegade,renegade_exo_outfit_name,renegade_exo_outfit_description,70.00,102279,E,Y,65,48%,35%,40%,2%,10%,12%,30%,5%,38%,1,3,96,103%,0.35,0.265,0.6,0.9
stalker_proto_exo_outfit,stalker,stalker_proto_exo_outfit_name,stalker_proto_exo_outfit_description,36.00,224759,H,Y,27,22%,26%,20%,12%,34%,20%,14%,17%,10%,5,7,115,108%,0.73,0.6,0.2875,0.9
svoboda_exo_outfit,freedom,svoboda_exo_outfit_name,svoboda_exo_outfit_description,70.00,160395,E,Y,65,44%,26%,40%,2%,13%,12%,36%,5%,38%,3,5,96,102%,0.35,0.265,0.55,0.9
svoboda_exolight_outfit,freedom,svoboda_exolight_outfit_name,svoboda_exolight_outfit_description,35.00,78798,H,N,61,41%,26%,34%,2%,20%,12%,30%,5%,35%,2,3,50,92%,0.39,0.34,0.525,0.9
svoboda_light_proto_exo_outfit,freedom,svoboda_light_proto_exo_outfit_name,svoboda_light_proto_exo_outfit_description,40.00,200732,H,Y,33,25%,18%,20%,12%,45%,17%,17%,15%,10%,4,7,96,107%,0.67,0.6,0.3125,0.9
