id,name_key,field_name,spot,level,x,y,z,anomaly_types,artefacts
gar_smart_terrain_6_7_anomal_zone,st_gar_smart_terrain_6_7_anomaly_spot_name,gar_smart_terrain_6_7_anomaly_spot,gar_smart_terrain_6_7_anomaly_spot,l02_garbage,109.854,-1.635,-267.572,,
agr_2c_01_hg_anomal_zone,st_agr_2c_01_hg_anomaly_spot_name,agr_2c_01_hg_anomaly_spot,agr_2c_01_hg_anomaly_spot,l03_agroprom,206.121,22.488,-157.431,,
agr_smart_terrain_1_2_anomal_zone,st_agr_smart_terrain_1_2_anomaly_spot_name,agr_smart_terrain_1_2_anomaly_spot,agr_smart_terrain_1_2_anomaly_spot,l03_agroprom,-218.462,3.530,69.403,,
agr_smart_terrain_1_3_anomal_zone,st_agr_smart_terrain_1_3_anomaly_spot_name,agr_smart_terrain_1_3_anomaly_spot,agr_smart_terrain_1_3_anomaly_spot,l03_agroprom,-202.904,-0.014,-24.468,,
agr_smart_terrain_4_4_near_3_anomal_zone,st_agr_smart_terrain_4_4_near_3_anomaly_spot_name,agr_smart_terrain_4_4_near_3_anomaly_spot,agr_smart_terrain_4_4_near_3_anomaly_spot,l03_agroprom,38.485,7.500,-11.914,,
agr_smart_terrain_5_2_anomal_zone,st_agr_smart_terrain_5_2_anomaly_spot_name,agr_smart_terrain_5_2_anomaly_spot,agr_smart_terrain_5_2_anomaly_spot,l03_agroprom,142.655,13.646,108.257,,
agr_smart_terrain_5_7_anomal_zone,st_agr_smart_terrain_5_7_anomaly_spot_name,agr_smart_terrain_5_7_anomaly_spot,agr_smart_terrain_5_7_anomaly_spot,l03_agroprom,24.597,7.551,-280.117,,
val_smart_terrain_6_4_anomal_zone,st_val_smart_terrain_6_4_anomaly_spot_name,val_smart_terrain_6_4_anomaly_spot,val_smart_terrain_6_4_anomaly_spot,l04_darkvalley,-47.643,-0.167,69.893,,
val_smart_terrain_8_6_anomal_zone,st_val_smart_terrain_8_6_anomaly_spot_name,val_smart_terrain_8_6_anomaly_spot,val_smart_terrain_8_6_anomaly_spot,l04_darkvalley,-13.375,0.194,-84.698,,
val_smart_terrain_8_9_anomal_zone,st_val_smart_terrain_8_9_anomaly_spot_name,val_smart_terrain_8_9_anomaly_spot,val_smart_terrain_8_9_anomaly_spot,l04_darkvalley,174.802,2.651,-308.682,,
val_smart_terrain_9_10_anomal_zone,st_val_smart_terrain_9_10_anomaly_spot_name,val_smart_terrain_9_10_anomaly_spot,val_smart_terrain_9_10_anomaly_spot,l04_darkvalley,130.486,5.523,-487.680,,
val_smart_terrain_9_4_anomal_zone,st_val_smart_terrain_9_4_anomaly_spot_name,val_smart_terrain_9_4_anomaly_spot,val_smart_terrain_9_4_anomaly_spot,l04_darkvalley,121.065,10.917,-49.599,,
labx18_2c_01_deep_burn_anomal_zone,st_labx18_2c_01_deep_burn_anomaly_spot_name,labx18_2c_01_deep_burn_anomaly_spot,labx18_2c_01_deep_burn_anomaly_spot,l04u_labx18,-44.542,-13.005,-16.202,,
labx18_2c_02_ff_anomal_zone,st_labx18_2c_02_ff_anomaly_spot_name,labx18_2c_02_ff_anomaly_spot,labx18_2c_02_ff_anomaly_spot,l04u_labx18,20.554,-11.321,41.625,,
labx18_2c_03_elders_anomal_zone,st_labx18_2c_03_elders_anomaly_spot_name,labx18_2c_03_elders_anomaly_spot,labx18_2c_03_elders_anomaly_spot,l04u_labx18,24.043,-8.746,-22.117,,
labx18_2c_04_bioh_anomal_zone,st_labx18_2c_04_bioh_anomaly_spot_name,labx18_2c_04_bioh_anomaly_spot,labx18_2c_04_bioh_anomaly_spot,l04u_labx18,8.482,6.149,-15.790,,
bar_2c_01_grant_anomal_zone,st_bar_2c_01_grant_anomaly_spot_name,bar_2c_01_grant_anomaly_spot,bar_2c_01_grant_anomaly_spot,l05_bar,137.307,1.530,144.614,,
ros_2c_01_tunnel_anomal_zone,st_ros_2c_01_tunnel_anomaly_spot_name,ros_2c_01_tunnel_anomaly_spot,ros_2c_01_tunnel_anomaly_spot,l06_rostok,-244.088,-4.236,89.968,,
ros_2c_02_crispy_train_anomal_zone,st_ros_2c_02_crispy_train_anomaly_spot_name,ros_2c_02_crispy_train_anomaly_spot,ros_2c_02_crispy_train_anomaly_spot,l06_rostok,-282.980,1.476,183.129,,
ros_2c_03_yc_anomal_zone,st_ros_2c_03_yc_anomaly_spot_name,ros_2c_03_yc_anomaly_spot,ros_2c_03_yc_anomaly_spot,l06_rostok,-155.670,-3.802,-90.353,,
mil_2c_01_hw_anomal_zone,st_mil_2c_01_hw_anomaly_spot_name,mil_2c_01_hw_anomaly_spot,mil_2c_01_hw_anomaly_spot,l07_military,-276.551,-18.546,291.917,,
mil_smart_terrain_2_1_anomal_zone,st_mil_smart_terrain_2_1_anomaly_spot_name,mil_smart_terrain_2_1_anomaly_spot,mil_smart_terrain_2_1_anomaly_spot,l07_military,-203.605,2.988,440.366,,
mil_smart_terrain_2_6_anomal_zone,st_mil_smart_terrain_2_6_anomaly_spot_name,mil_smart_terrain_2_6_anomaly_spot,mil_smart_terrain_2_6_anomaly_spot,l07_military,-8.365,-3.446,448.170,,
mil_smart_terrain_4_7_anomal_zone,st_mil_smart_terrain_4_7_anomaly_spot_name,mil_smart_terrain_4_7_anomaly_spot,mil_smart_terrain_4_7_anomaly_spot,l07_military,101.613,-10.569,121.168,,
mil_smart_terrain_7_4_anomal_zone,st_mil_smart_terrain_7_4_anomaly_spot_name,mil_smart_terrain_7_4_anomaly_spot,mil_smart_terrain_7_4_anomaly_spot,l07_military,-167.759,-3.492,5.570,,
mil_smart_terrain_8_3_anomal_zone,st_mil_smart_terrain_8_3_anomaly_spot_name,mil_smart_terrain_8_3_anomaly_spot,mil_smart_terrain_8_3_anomaly_spot,l07_military,-300.993,-13.228,34.864,,
yan_2c_01_cd_anomal_zone,st_yan_2c_01_cd_anomaly_spot_name,yan_2c_01_cd_anomaly_spot,yan_2c_01_cd_anomaly_spot,l08_yantar,104.215,2.942,68.202,,
yan_smart_terrain_2_5_anomal_zone,st_yan_smart_terrain_2_5_anomaly_spot_name,yan_smart_terrain_2_5_anomaly_spot,yan_smart_terrain_2_5_anomaly_spot,l08_yantar,89.735,0.040,-62.950,,
yan_smart_terrain_4_2_anomal_zone,st_yan_smart_terrain_4_2_anomaly_spot_name,yan_smart_terrain_4_2_anomaly_spot,yan_smart_terrain_4_2_anomaly_spot,l08_yantar,-173.017,2.531,-146.167,,
yan_smart_terrain_5_3_anomal_zone,st_yan_smart_terrain_5_3_anomaly_spot_name,yan_smart_terrain_5_3_anomaly_spot,yan_smart_terrain_5_3_anomaly_spot,l08_yantar,-49.216,-12.738,-244.988,,
yan_smart_terrain_zombi_spawn_anomal_zone,st_yan_smart_terrain_zombi_spawn_anomaly_spot_name,yan_smart_terrain_zombi_spawn_anomaly_spot,yan_smart_terrain_zombi_spawn_anomaly_spot,l08_yantar,88.113,-0.004,-4.989,,
x16_lab_2c_01_fb_anomal_zone,,x16_lab_2c_01_fb_anomaly_spot,x16_lab_2c_01_fb_anomaly_spot,l08u_brainlab,-33.870,-7.293,-16.077,,
cit_2c_01_ch_anomal_zone,st_cit_2c_01_ch_anomaly_spot_name,cit_2c_01_ch_anomaly_spot,cit_2c_01_ch_anomaly_spot,l09_deadcity,-122.547,4.376,37.081,,
cit_2c_02_pg_anomal_zone,st_cit_2c_02_pg_anomaly_spot_name,cit_2c_02_pg_anomaly_spot,cit_2c_02_pg_anomaly_spot,l09_deadcity,183.077,6.448,-75.361,,
lim_2c_01_ls_anomal_zone,st_lim_2c_01_ls_anomaly_spot_name,lim_2c_01_ls_anomaly_spot,lim_2c_01_ls_anomaly_spot,l10_limansk,-30.228,0.832,-92.035,,
lim_2c_02_ib_anomal_zone,st_lim_2c_02_ib_anomaly_spot_name,lim_2c_02_ib_anomaly_spot,lim_2c_02_ib_anomaly_spot,l10_limansk,96.184,7.064,274.889,,
rad_2c_01_bl_anomal_zone,st_rad_2c_01_bl_anomaly_spot_name,rad_2c_01_bl_anomaly_spot,rad_2c_01_bl_anomaly_spot,l10_radar,276.702,-48.521,-164.221,,
rad_2c_02_pp_anomal_zone,st_rad_2c_02_pp_anomaly_spot_name,rad_2c_02_pp_anomaly_spot,rad_2c_02_pp_anomaly_spot,l10_radar,47.441,6.188,83.222,,
red_smart_terrain_3_1_anomal_zone,st_red_smart_terrain_3_1_anomaly_spot_name,red_smart_terrain_3_1_anomaly_spot,red_smart_terrain_3_1_anomaly_spot,l10_red_forest,-80.965,1.426,-26.439,,
red_smart_terrain_3_2_anomal_zone,st_red_smart_terrain_3_2_anomaly_spot_name,red_smart_terrain_3_2_anomaly_spot,red_smart_terrain_3_2_anomaly_spot,l10_red_forest,-113.895,-6.109,-57.846,,
red_smart_terrain_4_5_anomal_zone,st_red_smart_terrain_4_5_anomaly_spot_name,red_smart_terrain_4_5_anomaly_spot,red_smart_terrain_4_5_anomaly_spot,l10_red_forest,14.846,-0.342,-217.400,,
red_smart_terrain_6_3_anomal_zone,st_red_smart_terrain_6_3_anomaly_spot_name,red_smart_terrain_6_3_anomaly_spot,red_smart_terrain_6_3_anomaly_spot,l10_red_forest,216.599,-6.524,-104.601,,
red_smart_terrain_6_6_anomal_zone,st_red_smart_terrain_6_6_anomaly_spot_name,red_smart_terrain_6_6_anomaly_spot,red_smart_terrain_6_6_anomaly_spot,l10_red_forest,134.332,-1.054,-280.733,,
red_smart_terrain_monsters_anomal_zone,st_red_smart_terrain_monsters_anomaly_spot_name,red_smart_terrain_monsters_anomaly_spot,red_smart_terrain_monsters_anomaly_spot,l10_red_forest,167.976,1.963,73.314,,
bun_2c_01_f_anomal_zone,st_bun_2c_01_f_anomaly_spot_name,bun_2c_01_f_anomaly_spot,bun_2c_01_f_anomaly_spot,l10u_bunker,14.432,-32.266,22.000,,
bun_2c_02_gp_anomal_zone,st_bun_2c_02_gp_anomaly_spot_name,bun_2c_02_gp_anomaly_spot,bun_2c_02_gp_anomaly_spot,l10u_bunker,-1.584,-32.460,24.214,,
pri_2c_01_pp_anomal_zone,st_pri_2c_01_pp_anomaly_spot_name,pri_2c_01_pp_anomaly_spot,pri_2c_01_pp_anomaly_spot,l11_pripyat,79.578,1.026,70.438,,
pri_2c_02_gt_anomal_zone,st_pri_2c_02_gt_anomaly_spot_name,pri_2c_02_gt_anomaly_spot,pri_2c_02_gt_anomaly_spot,l11_pripyat,64.686,-0.596,-103.408,,
pri_2c_03_wr_anomal_zone,st_pri_2c_03_wr_anomaly_spot_name,pri_2c_03_wr_anomaly_spot,pri_2c_03_wr_anomaly_spot,l11_pripyat,97.847,3.044,352.487,,
pri_2c_04_o_anomal_zone,st_pri_2c_04_o_anomaly_spot_name,pri_2c_04_o_anomaly_spot,pri_2c_04_o_anomaly_spot,l11_pripyat,-30.173,2.637,364.386,,
aes_2c_01_ce_anomal_zone,st_aes_2c_01_ce_anomaly_spot_name,aes_2c_01_ce_anomaly_spot,aes_2c_01_ce_anomaly_spot,l12_stancia,994.337,3.441,-93.167,,
aes_2c_02_p_anomal_zone,st_aes_2c_02_p_anomaly_spot_name,aes_2c_02_p_anomaly_spot,aes_2c_02_p_anomaly_spot,l12_stancia,200.977,6.942,-101.496,,
aes2_2c_01_bo_anomal_zone,st_aes2_2c_01_bo_anomaly_spot_name,aes2_2c_01_bo_anomaly_spot,aes2_2c_01_bo_anomaly_spot,l12_stancia_2,341.247,2.142,123.582,,
aes2_2c_02_at_anomal_zone,st_aes2_2c_02_at_anomaly_spot_name,aes2_2c_02_at_anomaly_spot,aes2_2c_02_at_anomaly_spot,l12_stancia_2,798.869,2.267,331.368,,
sar_2c_01_r_anomal_zone,st_sar_2c_01_r_anomaly_spot_name,sar_2c_01_r_anomaly_spot,sar_2c_01_r_anomaly_spot,l12u_sarcofag,20.633,53.298,-8.778,,
gen_2c_01_ss_anomal_zone,st_gen_2c_01_ss_anomaly_spot_name,gen_2c_01_ss_anomaly_spot,gen_2c_01_ss_anomaly_spot,l13_generators,-205.155,54.276,-516.604,,
gen_smart_terrain_urod_anomal_zone,st_gen_smart_terrain_urod_anomaly_spot_name,gen_smart_terrain_urod_anomaly_spot,gen_smart_terrain_urod_anomaly_spot,l13_generators,-51.254,37.308,-221.913,,
pri_b301_anomal_zone,,pri_b301_anomaly_spot,pri_b301_anomaly_spot,pripyat,63.036,13.139,124.544,,
pri_b302_anomal_zone,,pri_b302_anomaly_spot,pri_b302_anomaly_spot,pripyat,136.071,28.908,237.293,,
pri_b303_anomal_zone,,pri_b303_anomaly_spot,pri_b303_anomaly_spot,pripyat,28.866,-0.487,290.059,,
pri_b304_anomal_zone,,pri_b304_anomaly_spot,pri_b304_anomaly_spot,pripyat,-138.220,-11.178,-223.692,,
pri_b306_anomal_zone,,pri_b306_anomaly_spot,pri_b306_anomaly_spot,pripyat,-63.942,20.902,94.021,,
pri_b307_anomal_zone,,pri_b307_anomaly_spot,pri_b307_anomaly_spot,pripyat,-168.970,-0.507,-49.346,,
pri_wa_anomal_zone,,pri_wa_anomaly_spot,pri_wa_anomaly_spot,pripyat,25.176,-0.507,68.633,,
pol_smart_terrain_1_2_anomal_zone,st_pol_smart_terrain_1_2_anomaly_spot_name,pol_smart_terrain_1_2_anomaly_spot,pol_smart_terrain_1_2_anomaly_spot,y04_pole,-109.896,0.312,74.352,,
zat_b100_anomal_zone,,zat_b100_anomaly_spot,zat_b100_anomaly_spot,zaton,-359.656,39.986,-353.102,,
zat_b101_anomal_zone,,zat_b101_anomaly_spot,zat_b101_anomaly_spot,zaton,-348.500,5.038,159.545,,
zat_b14_anomal_zone,,zat_b14_anomaly_spot,zat_b14_anomaly_spot,zaton,403.265,-5.736,231.111,,
zat_b20_anomal_zone,,zat_b20_anomaly_spot,zat_b20_anomaly_spot,zaton,-36.670,24.300,308.288,,
zat_b39_anomal_zone,,zat_b39_anomaly_spot,zat_b39_anomaly_spot,zaton,-296.847,20.699,-142.927,,
zat_b53_anomal_zone,,zat_b53_anomaly_spot,zat_b53_anomaly_spot,zaton,419.957,-4.511,411.254,,
zat_b54_anomal_zone,,zat_b54_anomaly_spot,zat_b54_anomaly_spot,zaton,272.864,10.860,-286.900,,
zat_b55_anomal_zone,,zat_b55_anomaly_spot,zat_b55_anomaly_spot,zaton,-51.025,1.623,-184.051,,
zat_wa_anomal_zone,,zat_wa_anomaly_spot,zat_wa_anomaly_spot,zaton,52.027,-6.918,7.968,,
zaton_b56_anomal_zone,,zaton_b56_anomaly_spot,zaton_b56_anomaly_spot,zaton,11.301,10.293,-378.825,,
