~,pda_encyclopedia_name,st_data_export_mag_provider,st_data_export_mag_limit_small,st_data_export_mag_limit_medium,st_data_export_mag_limit_large
merc_sun_outfit,merc_sun_outfit_name,outfit,4,4,1
merc_sunset_outfit,merc_sunset_outfit_name,outfit,5,5,2
merc_wolven_outfit,merc_wolven_outfit_name,outfit,4,4,1
military_bandit_outfit,military_bandit_outfit_name,outfit,6,6,2
military_exo_outfit,military_exo_outfit_name,outfit,5,5,2
military_exolight_outfit,military_exolight_outfit_name,outfit,5,5,2
military_freedom_outfit,military_freedom_outfit_name,outfit,6,6,2
military_merc_outfit,military_merc_outfit_name,outfit,6,6,2
military_monolit_outfit,military_monolit_outfit_name,outfit,6,6,2
military_outfit,military_outfit_name,outfit,6,6,2
military_proto_exo_outfit,military_proto_exo_outfit_name,outfit,6,6,2
military_sky_outfit,military_sky_outfit_name,outfit,6,6,2
monolith_exo_outfit,monolith_exo_outfit_name,outfit,5,5,2
monolith_exolight_outfit,monolith_exolight_outfit_name,outfit,5,5,2
monolith_nbc_outfit,monolith_nbc_outfit_name,outfit,5,5,1
monolith_nosorog_outfit,monolith_nosorog_outfit_name,outfit,5,5,2
monolith_outfit,monolith_outfit_name,outfit,4,4,1
monolith_proto_exo_outfit,monolith_proto_exo_outfit_name,outfit,4,4,1
monolith_scientific_light_outfit,monolith_scientific_light_outfit_name,outfit,4,3,0
monolith_scientific_outfit,monolith_scientific_outfit_name,outfit,4,4,1
monolith_trenchcoat_outfit,monolith_trenchcoat_outfit_name,outfit,4,3,1
nbc_dolg_outfit,nbc_dolg_outfit_name,outfit,4,4,1
nbc_freedom_outfit,nbc_freedom_outfit_name,outfit,5,5,1
nbc_merc_outfit,nbc_merc_outfit_name,outfit,4,4,1
nbc_outfit,nbc_outfit_name,outfit,4,4,1
nomad_outfit,nomad_outfit_name,outfit,4,4,1
novice_outfit,novice_outfit_name,outfit,3,2,0
novice_outfit_camo,novice_outfit_camo_name,outfit,4,3,1
novice_outfit_tourist,novice_outfit_tourist_name,outfit,3,2,0
redline_novice_outfit,redline_novice_outfit_name,outfit,3,2,0
renegade_exo_outfit,renegade_exo_outfit_name,outfit,5,5,2
renegade_scientific_outfit,renegade_scientific_outfit_name,outfit,4,4,1
renegademerc_outfit,renegademerc_outfit_name,outfit,5,5,2
scientific_outfit,scientific_outfit_name,outfit,4,3,0
specops_bandit_outfit,specops_bandit_outfit_name,outfit,5,5,2
specops_dolg_outfit,specops_dolg_outfit_name,outfit,5,5,2
specops_merc_outfit,specops_merc_outfit_name,outfit,5,5,2
specops_outfit,specops_outfit_name,outfit,5,5,2
stalker_autumn_outfit,stalker_autumn_outfit_name,outfit,3,3,0
stalker_bear_outfit,stalker_bear_outfit_name,outfit,3,3,0
stalker_drought_outfit,stalker_drought_outfit_name,outfit,3,3,0
stalker_graphite_outfit,stalker_graphite_outfit_name,outfit,3,3,0
stalker_outfit,stalker_outfit_name,outfit,3,3,0
stalker_predator_outfit,stalker_predator_outfit_name,outfit,3,3,0
stalker_proto_exo_outfit,stalker_proto_exo_outfit_name,outfit,3,3,0
stalker_salamander_outfit,stalker_salamander_outfit_name,outfit,3,3,0
stalker_tigerstripe_outfit,stalker_tigerstripe_outfit_name,outfit,3,3,0
svoboda_exo_outfit,svoboda_exo_outfit_name,outfit,5,5,2
svoboda_exolight_outfit,svoboda_exolight_outfit_name,outfit,5,5,2
svoboda_heavy_outfit,svoboda_heavy_outfit_name,outfit,5,5,2
svoboda_heavy_outfit_2,svoboda_heavy_outfit_2_name,outfit,4,3,0
svoboda_light_outfit,svoboda_light_outfit_name,outfit,4,4,1
svoboda_light_proto_exo_outfit,svoboda_light_proto_exo_outfit_name,outfit,4,4,1
svoboda_novice_outfit,svoboda_novice_outfit_name,outfit,3,2,0
svoboda_scientific_outfit,svoboda_scientific_outfit_name,outfit,4,3,0
travel_outfit,travel_outfit_name,outfit,4,4,1
trenchcoat_brown_outfit,trenchcoat_brown_outfit_name,outfit,4,4,1
trenchcoat_dolg_brown_outfit,trenchcoat_dolg_brown_outfit_name,outfit,4,4,1
trenchcoat_freedom_brown_outfit,trenchcoat_freedom_brown_outfit_name,outfit,4,4,1
trenchcoat_green_outfit,trenchcoat_green_outfit_name,outfit,4,4,1
trenchcoat_outfit,trenchcoat_outfit_name,outfit,4,3,1
wastelander_outfit,wastelander_outfit_name,outfit,3,3,0
